id,WordText,WordMeaning,PoSText
10500,enter,참가하다,동사
10501,evening,저녁,명사
10502,every,모든,대명사
10503,every,~마다,대명사
10504,example,"예시,사례,보기",명사
10505,example,"본보기,모범",명사
10506,exercise,(권리 등을) 행사하다,동사
10507,eye,눈,명사
10508,face,얼굴,명사
10509,face,향하다,동사
10510,face,"~을 마주보다,향하다",동사
10511,fact,사실,명사
10512,factual,실제의,형용사
10513,fail,실패하다,동사
10514,fail,"시험에 떨어지다,낙제하다",동사
10515,fall,떨어지다,동사
10516,fall,가을,명사
10517,fall,드리워지다,동사
10518,fall,폭포,명사
10519,fall,"~한 상태가 되다,~해지다",명사
10520,family,가족,명사
10521,fan,"~팬,~광",명사
10522,fan,선풍기,명사
10523,fan,"부채,선풍기,팬",명사
10524,far,먼,부사
10525,far,(비교급 앞에서) 훨씬,부사
10526,farm,농장,명사
10527,farm,경작하다,동사
10528,fast,빠른,형용사
10529,fast,단식하다,동사
10530,fast,"단단히,완전히",부사
10531,fat,"지방,기름",명사
10532,father,아버지,명사
10533,father,신부,명사
10534,favorite,우승 후보,명사
10535,feel,느끼다,동사
10536,feel,~라고 느끼다,동사
10537,festival,축제,명사
10538,field,분야,명사
10539,field,들판,명사
10540,field,(특정 용도를 위한) 지역,명사
10541,field,경기장,명사
10542,field,현장,명사
10543,file,서류철,명사
10544,file,정보,명사
10545,file,앞뒤로 줄지어 가다,동사
10546,fill,채우다,동사
10547,film,필름,명사
10548,film,영화를 찍다,동사
10549,film,영화,명사
10550,find,"발견하다,찾다",동사
10551,find,판결을 내리다,동사
10552,fine,(보기에) 좋은,형용사
10553,fine,벌금,명사
10554,fine,(실/끈 따위가) 가는,형용사
10555,fine,기분이 좋은,형용사
10556,fine,"아주 작은,미세한",형용사
10557,finger,손가락,명사
10558,finish,끝내다,동사
10559,finish,(음식을) 다 먹다,동사
10560,fire,불,명사
10561,fire,총을 발사하다,동사
10562,fire,해고하다,동사
10563,first,첫 번째의,형용사
10564,first,먼저,부사
10565,fish,"물고기,생선",명사
10566,five,"5,다섯",명사
10567,fix,"고정시키다,고치다",동사
10568,fix,"고치다,수리하다",동사
10569,fix,(시간/장소 등을) 정하다,동사
10570,fix,잠정적 해결,명사
10571,floor,"바닥,층",명사
10572,floor,층,명사
10573,flower,꽃,명사
10574,fly,날다,동사
10575,fly,파리,명사
10576,fly,(비행기 등을) 조종하다,동사
10577,fly,(비행기 등을) 날리다,동사
10578,fly,시간이 쏜살같이 지나가다,동사
10579,focus,집중하다,동사
10580,focus,"중심,진원지",명사
10581,focus,"집중,집중하다",동사
10582,food,음식,명사
10583,fool,바보,명사
10584,fool,"속이다,기만하다",동사
10585,foot,발,명사
10586,foot,~의 맨 아랫부분,명사
10587,football,축구,명사
10588,for,~을 위하여,전치사
10589,for,~동안,전치사
10590,for,~에 찬성하는,전치사
10591,for,~에 비하여,전치사
10592,forest,숲,명사
10593,forget,잊다,동사
10594,fork,포크,명사
10595,form,"서식,형태",명사
10596,form,형성하다,동사
10597,formal,공식적인,형용사
10598,formal,격식을 갖춘,형용사
10599,formation,"형성,대형",명사
