id,WordText,WordMeaning,PoSText
12433,draw a picture,그림을 그리다,숙어/관용어
12434,ink,잉크,명사
12435,o'clock,시,명사
12436,play badminton,배드민턴을 하다,숙어/관용어
12437,play baseball,야구를 하다,숙어/관용어
12438,play basketball,농구를 하다,숙어/관용어
12439,play soccer,축구를 하다,숙어/관용어
12440,raise,"올리다,일으키다",동사
12441,raise,돈을 모으다,동사
12442,raise,키우다,동사
12443,raise,(의문/문제 등을) 제기하다,동사
12444,raise,"기르다,재배하다",동사
12445,raise,(물가/급여 등의) 인상,명사
12446,raise,모금하다,동사
12447,raise,일으키다,동사
12448,reading a book,책을 읽는,숙어/관용어
12449,ride a bike,자전거를 타다,숙어/관용어
12450,watching TV,텔레비전을 보는,숙어/관용어
12451,yoga,요가,명사
12452,yourself,당신 자신,대명사
