id,WordText,WordMeaning,PoSText
12000,handsome,"(양이) 많은,큰",형용사
12001,headache,두통,명사
12002,health,건강,명사
12003,healthy,"건강한,건강에 좋은",형용사
12004,helicopter,헬리콥터,명사
12005,hiking,"하이킹,도보 여행",명사
12006,honey,꿀,명사
12007,honey,"여보,얘",명사
12008,how much,얼마의,숙어/관용어
12009,how much,(양/무게) 얼마나,숙어/관용어
12010,hungry,배고픈,형용사
12011,hurt,"상처를 입히다,(감정을) 상하게 하다",동사
12012,hurt,다치다,동사
12013,ice cream,아이스크림,명사
12014,igloo,이글루,명사
12015,iguana,이구아나,명사
12016,in front of,~의 앞에,숙어/관용어
12017,in-line skating,인라인 스케이팅,명사
12018,India,인도,명사
12019,interesting,흥미로운,형용사
12020,interview,"인터뷰,회견",명사
12021,invent,발명하다,동사
12022,is,이다,동사
12023,Italy,이탈리아,명사
12024,January,1월,명사
12025,jeans,청바지,명사
12026,jellyfish,해파리,명사
12027,July,7월,명사
12028,jump rope,줄넘기를 하다,숙어/관용어
12029,jump rope,줄넘기,명사
12030,June,6월,명사
12031,kangaroo,캥거루,명사
12032,kebab,케밥,명사
12033,Kenya,케냐,명사
12034,kite,연,명사
12035,kiwi,"키위,키위새,뉴질랜드인",명사
12036,Korea,한국,명사
12037,Korean,"한국의,한국인의",형용사
12038,Korean,한국어,명사
12039,ladybug,무당벌레,명사
12040,lamp,등불,명사
12041,later,후에,부사
12042,leaf,나뭇잎,명사
12043,leaf,"(책의)낱장,책장",명사
12044,lemon,레몬,명사
12045,lemonade,레모네이드,명사
12046,let,시키다,동사
12047,let,"(~하게)놓아두다,(~을 하도록)허락하다",동사
12048,living room,거실,명사
12049,locker,사물함,명사
12050,look for,~을 찾다,숙어/관용어
12051,lose,"잃다,경기에 지다",동사
12052,lose,경기에 지다,동사
12053,lucky,"운이 좋은,행운의",형용사
12054,lunchbox,도시락,명사
12055,magic,"마법,마술",명사
12056,make friends,친구를 사귀다,숙어/관용어
12057,March,3월,명사
12058,Mars,화성,명사
12059,mask,"가면,탈",명사
12060,medicine,약,명사
12061,medicine,의학,명사
12062,medium,중간의,형용사
12063,medium,(대중 전달용) 매체,명사
12064,medium,"매개,수단",명사
12065,melon,멜론,명사
12066,melt,녹다,동사
12067,memo,메모,명사
12068,menu,메뉴,명사
12069,Mercury,수성,명사
12070,Mexican,멕시코의,형용사
12071,Mexico,멕시코,명사
12072,middle school,중학교,명사
12073,mine,나의 것,명사
12074,mine,광물질을 캐다,동사
12075,mirror,(사물/형체를) 비추다,동사
12076,mirror,반영시키다,동사
12077,Monday,월요일,명사
12078,museum,박물관,명사
12079,musician,음악가,명사
12080,neighbor,이웃사람,명사
12081,New Zealand,뉴질랜드,명사
12082,next to,바로 옆에,숙어/관용어
12083,next to,(순서/중요도) 다음으로,숙어/관용어
12084,next to,~의 옆에,숙어/관용어
12085,noodle,국수,명사
12086,not bad,나쁘지 않은,부사
12087,November,11월,명사
12088,nurse's office,보건실,명사
12089,o'clock,시,명사
12090,ocean,대양,명사
12091,ocean,"대양,해양,바다",명사
12092,October,10월,명사
12093,octopus,문어,명사
12094,once,"한 번,일단 ~하면",부사
12095,once,일단 ~하면,접속사
12096,once,~하자마자,접속사
12097,once,한 때,부사
12098,once,"(과거) 언젠가,한때",명사
12099,orange juice,오렌지 주스,명사
12100,order,(사회적) 질서,명사
12101,outside,바깥쪽,명사
12102,outside,밖에,부사
12103,over there,저기에,숙어/관용어
12104,P.E.,체육,명사
12105,p.m.,오후,명사
12106,painter,화가,명사
12107,painting,그림,명사
12108,painting,그림 그리기,명사
12109,palace,"궁전,왕궁",명사
12110,pancake,팬케익,명사
12111,panda,판다,명사
12112,parade,"행렬,행진",명사
12113,parade,보여주다,동사
12114,parrot,앵무새,명사
12115,pear,(과일) 배,명사
12116,pencil case,필통,명사
12117,penguin,펭귄,명사
12118,photo,사진,명사
12119,photographer,사진사,명사
12120,pianist,피아니스트,명사
12121,pie,파이,명사
12122,planet,행성,명사
12123,plant,식물,명사
12124,plant,공장,명사
12125,plastic bag,비닐봉지,명사
12126,plate,접시,명사
12127,plate,"(금속으로 된)판,판금",명사
12128,pocket,호주머니,명사
12129,police officer,경찰관,명사
12130,police station,경찰서,명사
12131,pond,연못,명사
12132,pool,수영장,명사
12133,pool,포켓볼,명사
12134,pool,"웅덩이,연못",명사
12135,post office,우체국,명사
12136,practice,"습관,관행",명사
12137,practice,실천하다,동사
12138,practice,영업,명사
12139,practice,"실행,실천",명사
12140,practice,"사용하다,실행하다",동사
12141,princess,공주,명사
12142,prize,상,명사
12143,prize,소중히 여기다,동사
