id,WordText,WordMeaning,PoSText
11000,need,욕구,명사
11001,need,수요,명사
11002,never,결코 ~않다,부사
11003,new,새로운,형용사
11004,news,뉴스,명사
11005,newspaper,신문,명사
11006,next,다음의,형용사
11007,nice,멋진,형용사
11008,nice,친절한,형용사
11009,nice,기분이 좋은,형용사
11010,night,밤,명사
11011,nine,"9,아홉",명사
11012,no,아니오,숙어/관용어
11013,north,북쪽,명사
11014,nose,코,명사
11015,nose,(항공기 등의) 앞부분,명사
11016,not,~않다,부사
11017,note,"기록,메모",명사
11018,note,공책,명사
11019,note,음표,명사
11020,note,주목하다,동사
11021,note,언급하다,동사
11022,note,음향 효과,명사
11023,notebook,공책,명사
11024,nothing,아무것도 ~않다,대명사
11025,notion,개념,명사
11026,now,지금,부사
11027,now,이제,부사
11028,number,수,명사
11029,number,번호를 매기다,동사
11030,number,"번호,숫자",명사
11031,nurse,간호사,명사
11032,of,~의,전치사
11033,off,떨어져,전치사
11034,off,할인하는,형용사
11035,off,할인된,부사
11036,office,사무소,명사
11037,office,공직,명사
11038,official,공식적인,형용사
11039,official,공무원,명사
11040,official,"관계자,관리",명사
11041,official,(운동 경기의) 심판,명사
11042,often,"흔히,종종",부사
11043,often,자주,부사
11044,oil,기름,명사
11045,okay,(상태가) 괜찮은,형용사
11046,okay,알았어,부사
11047,old,늙은,형용사
11048,old,오래된,형용사
11049,old,나이가 ~인,형용사
11050,on,~의 위에,전치사
11051,on,(날/요일) ~에,전치사
11052,on,(전원/기계 등이) 작동 중인,형용사
11053,one,"1,하나",명사
11054,one,~것,대명사
11055,only,"유일한,오직",형용사
11056,open,열다,동사
11057,open,문을 연,형용사
11058,open,"문을 열다,개업하다",동사
11059,or,또는,접속사
11060,orange,오렌지,명사
11061,orange,주황,명사
11062,over,위에,전치사
11063,over,~을 넘어서,전치사
11064,over,끝난,부사
11065,over,~동안,전치사
11066,page,쪽,명사
11067,paint,그리다,동사
11068,paint,그림물감,명사
11069,paint,색칠하다,동사
11070,pants,바지,명사
11071,paper,종이,명사
11072,paper,"지폐,어음",명사
11073,paper,"과제물,보고서",명사
11074,paper,"숙제,리포트",명사
11075,parent,"부모님,어버이",명사
11076,parent,부모,명사
11077,park,공원,동사
11078,park,주차하다,동사
11079,part,"부품,부분,지역",명사
11080,part,"지역,부분",명사
11081,part,헤어지다,동사
11082,part,역할,명사
11083,partner,동료,명사
11084,partner,짝꿍,명사
11085,party,파티,명사
11086,party,"정당,무리",명사
11087,party,일행,명사
11088,party,"정당,단체",명사
11089,pass,"지나가다,건네주다",동사
11090,pass,통과하다,동사
11091,pass,건네주다,동사
11092,pass,통행증,명사
11093,pass,시간이 흐르다,동사
11094,pay,(값을) 지불하다,동사
11095,pay,"급료,보수",명사
11096,pen,펜,명사
11097,pen,(가축의) 우리,명사
11098,pencil,연필,명사
11099,people,사람들,명사
11100,piano,피아노,명사
11101,pick,"고르다,선택하다",동사
11102,pick,"(꽃,과일 등을) 꺾다,따다",동사
11103,pick,곡괭이,명사
11104,pick,(과일 등을) 따다,동사
11105,picture,그림,명사
11106,picture,사진,명사
11107,picture,"그리다,상상하다",동사
11108,picture,(전반적인) 상황,명사
11109,pig,돼지,명사
11110,pilot,조종사,명사
11111,pizza,피자,명사
11112,place,"등수,위치",명사
11113,place,"놓다,설치(배치)하다",동사
11114,plastic,플라스틱(의),명사
11115,plastic,유연한,형용사
11116,play,놀다,동사
11117,play,연극,명사
11118,play,연주하다,동사
11119,play,상영하다,동사
11120,play,(운동/경기를) 하다,동사
11121,play,역할을 하다,동사
11122,play,(놀이/운동/악기/연주 등을)하다,동사
11123,pleasant,"즐거운,기분좋은",형용사
11124,please,"부디, ~해주세요",감탄사
11125,please,기쁘게 하다,동사
11126,pleasure,즐거움,명사
11127,point,"지점,요점",명사
11128,point,가리키다,동사
11129,point,요점,명사
11130,point,점수,명사
11131,police,경찰,명사
11132,poor,가난한,형용사
11133,poor,서투른,형용사
11134,poor,좋지 않은,형용사
11135,poor,불충분한,형용사
11136,poor,불쌍한,형용사
11137,poor,"좋지 못한,나쁜",형용사
11138,poor,"잘 못하는,형편없는",형용사
11139,poor,보잘것없는,형용사
11140,potato,감자,명사
11141,power,힘,명사
11142,power,전력을 공급하다,동사
11143,power,권력,명사
11144,power,"동력을 공급하다,작동시키다",동사
11145,present,보여주다,동사
11146,present,상영하다,동사
11147,present,참석한,형용사
11148,present,"현재,지금,선물",명사
