id,WordText,WordMeaning,PoSText
10000,a,하나의,관사
10001,about,~에 대하여,전치사
10002,about,대략,명사
10003,above,위에,전치사
10004,across,맞은편에,전치사
10005,act,연기하다,동사
10006,act,~인 체하다,동사
10007,act,"법령,조례",명사
10008,act,(연극 등의) 막,명사
10009,act,"결정하다,판결을 내리다",동사
10010,actual,실제의,형용사
10011,add,"추가하다,더하다",동사
10012,address,주소,명사
10013,address,연설,명사
10014,address,다루다,동사
10015,address,검토하다,동사
10016,address,말을 걸다,동사
10017,adult,어른,명사
10018,afraid,두려워 하는,형용사
10019,after,(시간/순서) 후에,전치사
10020,afternoon,오후,명사
10021,again,다시,부사
10022,against,반대하여,전치사
10023,against,~을 배경으로,전치사
10024,against,"~에 대비하여,예방하여",전치사
10025,against,~을 거슬러,전치사
10026,against,"~을 항하여,충돌하여",전치사
10027,age,"나이,시대",명사
10028,age,시대,명사
10029,age,노화시키다,동사
10030,ago,전에,부사
10031,agree,동의하다,동사
10032,ahead,"앞으로,앞에",부사
10033,air,공기,명사
10034,air,방송하다,동사
10035,air,느낌,명사
10036,airplane,비행기,명사
10037,album,앨범,명사
10038,all,모든,대명사
10039,almost,"거의,대부분",부사
10040,along,~를 따라서,전치사
10041,along,~와 함께,부사
10042,already,"이미,벌써",부사
10043,alright,괜찮아,숙어/관용어
10044,alright,"괜찮은,받아들일 만한",형용사
10045,also,~도 역시,부사
10046,always,언제나,부사
10047,always,항상,부사
10048,and,그리고,접속사
10049,animal,동물,명사
10050,another,"또 하나의,더",대명사
10051,answer,대답하다,동사
10052,answer,답,명사
10053,any,"무언가의,아무",대명사
10054,any,"전혀,조금도",부사
10055,apartment,아파트,명사
10056,apple,사과,명사
10057,area,지역,명사
10058,area,면적,명사
10059,area,분야,명사
10060,area,부위,명사
10061,arm,팔,명사
10062,arm,무기,명사
10063,arm,무장시키다,동사
10064,around,"주위에,둘레에",부사
10065,around,"약,~쯤",부사
10066,arrive,도착하다,동사
10067,art,예술,명사
10068,art,"미술,예술",명사
10069,as,~할 때,접속사
10070,as,~듯이,부사
10071,as,~로서,전치사
10072,as,"~대로,~처럼",전치사
10073,ask,묻다,동사
10074,ask,요청하다,동사
10075,at,~에서,전치사
10076,aunt,"숙모,고모/이모",명사
10077,autumn,가을,명사
10078,away,떨어져서,부사
10079,away,"~에 없는,부재중인",부사
10080,baby,아기,명사
10081,back,뒤로,부사
10082,back,등,명사
10083,back,"제자리에,돌아와서",부사
10084,back,~로 거슬러 올라가,부사
10085,bad,(기분이) 나쁜,형용사
10086,bad,"(행실이) 나쁜,불량한",형용사
10087,bad,"나쁜,형편없는",형용사
10088,bad,"나쁜,심한",형용사
10089,badminton,배드민턴,명사
10090,bag,가방,명사
10091,bag,봉지에 담다,동사
10092,bake,굽다,동사
10093,ball,공,명사
10094,ball,무도회,명사
10095,banana,바나나,명사
10096,bank,은행,명사
10097,bank,강둑,명사
10098,base,"기초,기본(재료)",명사
10099,base,비열한,형용사
10100,base,(군사) 기지,명사
10101,base,~에 기반을 두다,동사
10102,base,사물의 맨 아래 부분,명사
10103,base,(야구)~루,명사
10104,baseball,야구,명사
10105,baseball,야구공,명사
10106,basket,바구니,명사
10107,basketball,농구,명사
10108,basketball,농구공,명사
10109,bat,야구 방망이,명사
10110,bat,박쥐,명사
10111,bat,(배트로) 공을 치다,동사
10112,bath,목욕,명사
10113,be,(be의 원형) ~이다,동사
10114,beach,해변,명사
10115,bear,곰,명사
10116,bear,견디다,동사
10117,bear,(표정/모습을) 몸에 지니다,동사
10118,bear,출산하다,동사
10119,bear,"(책임 등을) 떠맡다,감당하다",동사
10120,beauty,아름다움,명사
10121,because,"왜냐하면,~때문에",접속사
10122,become,~이 되다,동사
10123,become,~(해)지다,동사
