학습목표,Quiz 1,Korean 1,Option 1-1,Option 1-2,Option 1-3,Answer 1,Index 1,Quiz 2,Korean 2,Option 2-1,Option 2-2,Option 2-3,Answer 2,Index 2,샘플 스크립트 (영어),샘플 스크립트 (한국어)
"be interested in을 활용해 관심사 묻고 답할 수 있어요.
다양한 표현을 활용하여 관심사를 물어보고 대답할 수 있어요.",A: What are you ________?,A: 너는 무엇에 관심 있어? B: 나는 사진에 관심 있어.,obsessed with,interested in,fascinated by,interested in,2,A: What do you ________?,A: 너는 무엇을 좋아해?,ignore,like,dislike,like,2,A: Are you interested in art? B: I'm interested in modern art. A: What do you like about art? B: I like its color and creativity.,A: 너는 예술에 관심 있어? B: 나는 현대 미술에 관심 있어. A: 예술의 어떤 점을 좋아해? B: 색감과 창의성이 좋아.
"d better를 사용해 충고할 수 있어요.
should 표현을 사용해 충고할 수 있어요.",You'd better ______.,우산을 챙기는 게 좋겠어.,bring an umbrella,take an umbrella,hold an umbrella,take an umbrella,2,You should ______. It's a good idea to relax.,잠시 쉬는 게 좋아.,take a nap,take a break,skip a break,take a break,2,"A: You'd better bring a jacket today. B: That's smart advice! A: You should check the weather forecast before leaving. B: Yes, I'll do that.","A: 오늘 재킷을 챙기는 게 좋겠어. B: 좋은 충고야! A: 나가기 전에 일기예보를 확인하는 게 좋아. B: 응, 그렇게 할게."
"현재완료 시제를 활용해 질문을 하고 경험에 대해 답할 수 있어요.
have를 사용하여 해외여행 및 다양한 경험을 물어보고 대답할 수 있어요.","A: Have you ever _______? B: Yes, I have. / No, I haven’t.",해외여행 경험에 대해 묻는 현재완료 시제 표현입니다.,visited nearby,traveled abroad,stayed at home,traveled abroad,2,"A: Have you _______? B: Yes, I have. / No, I haven’t.",경험을 물어볼 때 쓰는 'try'의 과거분사 형태 표현입니다.,enjoyed,tried,tested,tried,2,"A: Have you ever visited a foreign country? B: Yes, I have. A: Did you ever try local street food? B: Yes, I did.","A: 해외에 가본 적 있어? B: 응, 가본 적 있어. A: 혹시 길거리 음식을 먹어본 적 있어? B: 응, 먹어본 적 있어."
"be worried about를 활용해 걱정 표현할 수 있어요.
시험 결과에 대해 걱정하는 마음을 영어로 표현할 수 있어요.",I'm ______ about my test results.,내 시험 결과에 대해 걱정하고 있어.,excited,worried,relaxed,worried,2,I'm ______ about my test results.,내 시험 결과에 대해 걱정하고 있어.,happy,carefree,concerned,concerned,3,"A: I'm worried about the exam tomorrow. B: Don't stress, you've prepared well. A: I'm concerned about getting a good score. B: Just stay calm and review your notes.","A: 내일 시험이 걱정돼. B: 걱정 마, 너 잘 준비했어. A: 좋은 점수를 받을 수 있을지 고민돼. B: 침착하게 노트를 다시 검토해보자."
"도움 요청하고 응답하는 표현을 사용할 수 있어요.
Can you help me ()?를 활용해 도움 요청하고 답할 수 있어요.",A: Can you help me ____ this table? B: Sure.,A: 이 테이블을 옮기는 데 도와줄 수 있니? B: 물론이지.,shake,move,fix,move,2,A: Would you mind ____ me? B: Not at all.,A: 나 좀 도와줄래? B: 전혀 문제 없어요.,helps,helping,help,helping,2,"A: Can you help me lift this box? B: I'm sorry, but I can't. A: Would you mind helping me pack these items? B: Not at all.","A: 이 상자를 들어줄 수 있어? B: 미안하지만, 할 수 없어. A: 이 물건들을 포장하는 데 도와줄래? B: 전혀 문제 없어요."
"계획이나 예정된 일을 묻고 답할 수 있어요.
동사 plan과 its alternatives인 going to, thinking of 등을 활용하여 미래 계획을 표현할 수 있어요.",A: What are you ______ to do on your trip? B: I’m planning to visit the museum.,A: 여행 중에 무엇을 계획할 거예요? B: 나는 박물관을 방문할 거예요.,thinking,planning,going,planning,2,A: What are you ______ to do on your trip? B: I’m going to visit the museum.,A: 여행 중에 무엇을 할 예정이에요? B: 나는 박물관을 방문할 거예요.,going to,thinking of,planning,going to,1,A: What are you planning to do after school? B: I’m planning to join a club. A: What are you going to do this weekend? B: I’m going to watch a movie.,A: 방과 후에 무엇을 할 계획이야? B: 나는 동아리에 가입할 거야. A: 이번 주말에 무엇을 할 예정이야? B: 나는 영화를 볼 거야.
"나는 기타 연주를 잘한다는 표현을 배워요.
I’m good at ~ 등의 표현으로 자신의 능력을 나타낼 수 있어요.",I'm ___.,나는 기타 연주를 잘해.,bad at playing the guitar,good at playing the guitar,great at playing drums,good at playing the guitar,2,I'm skilled at ___.,나는 기타 연주에 능숙해.,playing the piano,playing the guitar,playing football,playing the guitar,2,"A: I'm good at playing the piano. B: That's cool! I wish I could play the piano too. A: I'm skilled at playing the piano. I think I'm great at playing the piano. B: Wow, you must practice a lot!","A: 나는 피아노 연주를 잘해. B: 멋지다! 나도 피아노를 칠 수 있으면 좋겠어. A: 나는 피아노 연주에 능숙해. 난 피아노 연주를 정말 잘한다고 생각해. B: 와, 정말 많이 연습했겠네!"
"알고 있는 말을 인용하여 재진술하는 표현을 사용할 수 있어요.
They say that와 같은 표현을 활용하여 자신의 지식을 전달할 수 있어요.",A: They ___ that (). B: Really? I didn’t know that.,A: 사람들이 말한다고 해. B: 정말? 나는 몰랐어.,says,say,speak,say,2,A: It is ___ that (). B: That’s interesting.,A: 전해지기로는 사람들이 그렇게 말한다고 해. B: 그거 참 흥미롭네.,told,said,think,said,2,A: They say that the class was canceled. B: Really? I didn’t know that. A: It is said that the class will be online. B: That’s interesting.,A: 사람들이 수업이 취소되었다고 해. B: 정말? 나는 몰랐어. A: 전해지기로는 수업이 온라인으로 진행된다고 해. B: 그거 참 흥미롭네.
"걱정을 표현하는 영어 문장을 사용할 수 있어요.
I’m () worried about ()를 활용하여 걱정을 표현할 수 있어요.",A: I’m ___ worried about my test. B: Don’t worry. You’ll do great.,"A: 내 시험 때문에 정말 걱정하고 있어. B: 걱정 마, 잘 할 거야.",always,really,barely,really,2,A: I’m ___ about my exam. B: I hope everything will be fine.,A: 내 시험에 대해 불안해하고 있어. B: 모든 것이 잘 될 거야.,excited,anxious,confident,anxious,2,"A: I’m really worried about the project. B: Don’t worry, you’ll do great. A: I’m anxious about the results. B: I’m sure everything will turn out fine.","A: 난 프로젝트 때문에 정말 걱정하고 있어. B: 걱정 마, 잘 해낼 거야. A: 결과에 대해 불안해하고 있어. B: 모든 것이 잘 될 거야."
"바람이나 소원을 표현할 수 있어요.
I’m looking forward to ()와 want to ()를 활용해 바람이나 소원을 표현할 수 있어요.",A: I’m looking forward to ____.,A: 나는 여름 방학을 기대하고 있어. B: 나도 그래!,the winter vacation,a holiday,the summer vacation,the summer vacation,3,A: I can’t wait to ___.,A: 나는 여행 가는 것이 정말 기다려져. B: 멋질 거야! A: 나는 탐험하고 싶어. B: 흥미진진해!,clean,travel,study,travel,2,A: I’m looking forward to the upcoming festival. B: Me too! A: I can’t wait to travel. B: It’s going to be amazing! A: I want to explore new places. B: That sounds exciting!,A: 다가오는 축제가 기대돼. B: 나도 그래! A: 나는 여행 가는 것이 정말 기다려져. B: 멋질 거야! A: 나는 새로운 곳을 탐험하고 싶어. B: 흥미진진하게 들려!
"새로운 정보를 알고 있는지 묻는 표현을 사용할 수 있어요.
Have you heard about ()와 같은 표현을 사용하여 정보를 물어볼 수 있어요.","A: Have you _____ about the new movie? B: Yes, I have. / No, I haven’t.","A: 새로운 영화에 대해 들어본 적 있어? B: 응, 있어. / 아니, 없어.",watched,heard,talked,heard,2,"A: Do you _____ about the new movie? B: Yes, I do. / No, I don’t.","A: 새로운 영화에 대해 알아? B: 응, 알아. / 아니, 몰라.",see,know,find,know,2,"A: Have you heard about the upcoming concert? B: Yes, I have. A: Are you aware of the details? B: No, I’m not.","A: 다가오는 콘서트에 대해 들어본 적 있어? B: 응, 들었어. A: 상세한 정보를 알고 있어? B: 아니, 몰라."
