Key Expression (한국어),Sub Expression (한국어)
안녕!,안녕! 야!
"A: 앉으십시오, 부탁드립니다. B: 네, 물론입니다.",A: 자리에 앉으십시오. B: 물론입니다. A: 정중히 앉으십시오. B: 당연합니다.
A: 이게 뭐야? B: 이건 상자야.,A: 저게 뭐야? B: 저건 ()야. A: 이것은 뭐라고 불러? B: 이건 ()야.
"A: 아이스크림 즐겨 먹어? B: 아니, 안 즐겨 먹어.","A: (과일) 좋아해? B: 응, 좋아해. A: (음식) 먹는 거 즐겨 먹어? B: 아니, 안 즐겨 먹어."
A: 사자가 몇 마리 있나요? B: 사자가 다섯 마리 있어요.,A: ()가 몇 마리 있나요? B: ()가 () 마리 있어요. A: 몇 마리? B: ()
"A: 피아노를 칠 수 있어? B: 응, 할 수 있어.","A: (활동)을 할 수 있어? B: 응, 할 수 있어. A: (행동)을 할 줄 알아? B: 응, 할 수 있어."
A: 자동차는 무슨 색이야? B: 파란색이야.,A: 무슨 색조야? B: ~야. A: 어떤 색조를 가지고 있어? B: ~야.
"A: 백팩 있어? B: 응, 있어. / 아니, 없어.","A: () 있어? B: 응, 있어. / 아니, 없어. A: () 가지고 있어? B: 응, 있어. / 아니, 없어."
A: 몇 살이야? B: 나는 일곱 살이야.,A: 너의 나이는 몇 살이야? B: 나는 () 살이야. A: 네 나이를 말해줄래? B: 나는 () 살이야.
A: 그녀는 누구야? B: 그녀는 내 선생님이야.,A: 그는 누구야? B: 그는 내 () 선생님이야. A: 이 사람은 누구야? B: 이 사람은 내 ().
A: 날씨 어때? B: 비가 와.,A: 날씨가 어때? B: (    )야. A: 오늘 하늘은 어때? B: (    )야.
좋은 하루야!,어떻게 지내? 안녕!
A: 이게 뭐야? B: 장난감이야.,A: 저게 뭐야? B: 그건 ()야. A: 이걸 뭐라고 불러? B: ()야.
"A: 앉아주세요. B: 네, 알겠어요.",A: 이리 와주세요. B: 좋아요. A: 일어나주세요. B: 알겠어요.
A: 사과 몇 개 있어? B: 사과 다섯 개 있어.,A: 연필 몇 개 있어? B: 연필 ()개 있어. A: 자동차 몇 대 보이니? B: 자동차 ()대 보여.
"A: 딸기를 좋아해? B: 응, 그래.","A: ~ 먹는 거 즐겨? B: 응, 그래. A: ~ 즐거워? B: 아니, 안 그래."
"A: 너 빨리 달릴 수 있어? B: 응, 할 수 있어.","A: ~할 수 있어? B: 아니, 할 수 없어. A: ~하는 방법을 알아? B: 응, 알아."
"A: 마커 있어? B: 아니, 없어.","A: 너는 ~를 소유하고 있어? B: 응, 있어. A: 너는 ~를 소지하고 있어? B: 아니, 없어."
나는 기뻐.,나는 만족해. 나는 신이 나.
A: 차 색깔이 뭐야? B: 파란색이야.,A: 그것의 색깔이 뭐야? B: ()야. A: 색깔을 말해줄래? B: ()야.
A: 날씨 어때? B: 화창해.,A: 날씨가 어때? B: ()야. A: 밖은 어때? B: ()야.
"안녕, 거기!",안녕! 안녕하세요!
A: 이거 뭐야? B: 이건 책이야.,A: 저거 뭐야? B: 이건 ()야. A: 그게 뭐야? B: 이건 ()야.
A: 창문 좀 닫아 주세요. B: 물론.,A: 책 좀 건네 주세요. B: 물론. A: 불 좀 켜 주세요. B: 당연하지.
"A: 아이스크림 좋아해? B: 응, 좋아해. / 아니, 안 좋아해.","A: ()를 즐겨? B: 응, 좋아해. / 아니, 안 좋아해. A: ()를 좋아해? B: 응, 그래. / 아니, 안 그래."
A: 어떻게 지내? B: 잘 지내고 있어.,A: 잘 지냈어? B: 기분 좋아. A: 어떻게 지내고 있어? B: 괜찮아.
"A: 자전거 탈 수 있어? B: 응, 할 수 있어.","A: (action)을 할 수 있어? B: 응, 할 수 있어. A: (verb)하는 방법 알아? B: 아니, 할 수 없어."
A: 고양이가 몇 마리 있어? B: 고양이가 세 마리 있어.,A: 개가 몇 마리 있어? B: 개가 네 마리 있어. A: 새가 몇 마리 있어? B: 새가 두 마리 있어.
A: 자동차는 무슨 색이야? B: 파란색이야.,A: 그것의 색깔은 뭐야? B: ~야. A: 색깔을 말해줄 수 있어? B: ~야.
A: 점심 먹자. B: 좋아.,"A: 낚시하러 가자. B: 미안, 못 해. A: 게임하자. B: 좋아."
"A: 연필 있어? B: 응, 있어. / 아니, 없어.","A: () 있어? B: 응, 있어. / 아니, 없어. A: () 들고 있어? B: 응, 있어. / 아니, 없어."
A: 몇 살이야? B: 나는 일곱 살이야.,A: 네 나이는 뭐야? B: 나는 () 살이야. A: 지금까지 몇 살이야? B: 나는 () 살이야.
"A: 소리 지르지 마, 제발. B: 알겠어.","A: 뛰지 마, 제발. B: 미안해. A: 저거 만지지 마, 제발. B: 알겠어."
A: 날씨 어때? B: 구름 많아.,A: 밖은 어때? B: () A: 오늘은 어때? B: ()
안녕!,안녕! 잘 가!
A: 저게 뭐야? B: 그건 책이야.,A: 이것은 뭐야? B: 이것은 ()야. A: 저것은 뭐야? B: 저것은 ()야.
A: 책을 열어 주세요. B: 알겠습니다.,A: 상자를 닫아 주세요. B: 알겠습니다. A: 펜을 가져와 주세요. B: 물론입니다.
"A: 바나나를 좋아해? B: 응, 좋아해.","A: () 좋아해? B: 응, 좋아해. A: () 즐겨? B: 아니, 안 즐겨."
A: 책이 몇 권 있어? B: 나는 세 권 있어.,A: 사과가 몇 개 있어? B: ()개 있어. A: 의자가 몇 개 필요해? B: 나는 ()개 필요해.
"A: 노트북 있어? B: 응, 있어.","A: () 가지고 있어? B: 응, 있어. A: () 있어? B: 아니, 없어."
"A: 그림 그릴 수 있어? B: 응, 할 수 있어.","A: ()할 수 있어? B: 응, 할 수 있어. A: ()하는 방법을 알아? B: 아니, 몰라."
오르지 마.,뛰지 마. 소리지르지 마.
A: 그녀는 누구야? B: 그녀는 내 선생님이야.,A: 저 사람은 누구야? B: 저 사람은 내 (). A: 저 사람들은 누구야? B: 저 사람들은 내 ().
A: 이것들은 무슨 색깔이야? B: 이들은 초록색이야.,A: 무슨 색조야? B: ()야. A: 색깔을 말해줄래? B: ()야.
A: 몇 살이야? B: 나는 일곱 살이야.,A: 몇 살이니? B: 나는 ()살이야. A: 네 나이는 뭐야? B: 나는 ()살이야.
A: 날씨 어때? B: 화창해.,A: 오늘 어때? B: 오늘은 ()야. A: 날씨 어때? B: 날씨는 ()야.
"A: 안녕, 거기! B: 안녕, 만나서 반가워!","A: 좋은 오후, (). B: 오후, (). A: 잘 있어, (). B: 나중에 봐, ()."
A: 저게 뭐야? B: 그건 펜이야.,"A: 이게 뭐야? B: 이건 ~야. A: 저건 ~야? B: 응, 그래. / 아니, 아니야."
