학습목표,Quiz 1,Korean 1,Option 1-1,Option 1-2,Option 1-3,Answer 1,Index 1,Quiz 2,Korean 2,Option 2-1,Option 2-2,Option 2-3,Answer 2,Index 2,샘플 스크립트 (영어),샘플 스크립트 (한국어)
"상대방의 안부를 묻고 응답하는 표현을 사용할 수 있어요.
Use expressions to ask about and respond to someone's well-being.",A: How are you ___? B: I'm doing fine.,A: 어떻게 지내고 있어? B: 나 잘 지내고 있어.,feeling,doing,today,doing,2,A: How have you been? B: I'm feeling ___ . A: Is everything all right? B: Not too bad.,A: 그동안 어떻게 지냈어? B: 나는 기분이 좋아. A: 모든 게 괜찮아? B: 그럭저럭이야.,bad,good,angry,good,2,A: How's it going? B: I'm feeling great. A: Have you been well? B: Pretty good overall.,A: 어떻게 지내? B: 기분이 정말 좋아. A: 그동안 잘 지냈어? B: 전체적으로 꽤 괜찮아.
"학생들은 Let's를 사용하여 제안을 할 수 있어요.
학생들은 제안에 대한 적절한 응답을 할 수 있어요.",Let's ___ to the park.,공원에 가자.,stay,go,sit,go,2,Let's ___ together. How about we ride bikes?,"같이 자전거 타자. 어때, 자전거 탈래?",drive,ride,sing,ride,2,"A: Let's go for a walk. B: Sure, a walk sounds refreshing! A: Let's laugh together. How about we play a game? B: That sounds fun!","A: 산책하자. B: 그래, 산책하면 기분 전환이 될 거야! A: 같이 웃자. 어때, 게임 할래? B: 재밌을 것 같아!"
"물건의 위치를 묻는 표현을 사용할 수 있어요.
위치 묻기 표현을 활용하여 물건의 위치를 묻고 답할 수 있어요.",A: Where is my ______? B: It's on the table.,내 배낭이 어디에 있니? 테이블 위에 있어.,lunchbox,bag,backpack,backpack,3,A: Where is my ______? B: It's in the drawer.,내 필통이 어디에 있니? 서랍 안에 있어.,pencil case,notebook,bag,pencil case,1,A: Where is my jacket? B: It's hanging on the rack. A: Where is my hat? B: It's in the closet.,A: 내 재킷이 어디 있니? B: 옷걸이에 걸려 있어. A: 내 모자는 어디 있니? B: 옷장 안에 있어.
"be 동사의 형태를 활용하여 감정을 묻고 답할 수 있어요.
감정을 표현하는 대화문을 만들 수 있어요.","A: Are you ___? B: Yes, I am.","A: 너 기쁜 거니? B: 응, 그래.",embarrassed,delighted,bored,delighted,2,"A: Are you ___ yourself? B: Yes, I am.","A: 너 즐기고 있니? B: 응, 그래.",detesting,suffering,enjoying,enjoying,3,"A: Are you delighted about the results? B: Yes, I am. A: Are you enjoying the success? B: Yes, I am.","A: 결과에 기뻐하고 있니? B: 응, 그래. A: 성공을 즐기고 있니? B: 응, 그래."
"금지 요청하는 표현을 사용할 수 있어요.
Don't ()를 활용해 금지 요청하고 이에 답할 수 있어요.","A: ______, please. B: Sure, I won't.","A: 크게 말하지 마세요, 제발. B: 네, 안 할게요.",Don't speak quietly,Don't speak loudly,Don't speak softly,Don't speak loudly,2,"A: ______, please. B: Okay, I won't.","A: 빨리 움직이지 마세요, 제발. B: 알겠어요, 안 할게요.",Don't move slowly,Don't move fast,Don't move early,Don't move fast,2,"A: Don’t talk on your phone in the library, please. B: Certainly, I won't. A: And please, don't leave your bag unattended. B: Absolutely, I'll be careful.","A: 도서관에서 전화 통화하지 마세요, 제발. B: 물론이죠, 하지 않을게요. A: 그리고 가방을 방치하지 마세요. B: 알겠습니다, 조심할게요."
"소유를 나타내는 표현을 사용할 수 있어요.
물건의 주인에 대해 묻고 대답할 수 있어요.","A: Is this ___ bag? B: Yes, it is.","A: 이것은 네 가방이니? B: 응, 맞아.",his,your,my,your,2,"A: Is this your bag? B: Yes, it is. A: Is this ___? B: Yes, it is.","A: 이것은 네 가방이니? B: 응, 맞아. A: 이것은 그녀의 것이니? B: 응, 맞아.",ours,hers,mine,hers,2,"A: Is this your notebook? B: Yes, it is. A: Is this hers? B: No, it isn't.","A: 이것은 네 공책이니? B: 응, 맞아. A: 이것은 그녀의 것이니? B: 아니야."
"현재 시각을 묻고 대답하는 방법을 배워요.
What time을 사용하여 시간 관련 표현을 익힐 수 있어요.",A: ___ is it? B: It's nine o'clock.,A: 몇 시인지 물어봐? B: 지금은 아홉 시야.,When,What time,How long,What time,2,A: Can you tell me the time? B: It's ___.,"몇 시인지 물어보고, 시각을 말하는 표현이에요.",ten o'clock,nine o'clock,eight o'clock,nine o'clock,2,A: What time is it? B: It's seven o'clock. A: Do you know the time? B: It's seven o'clock.,A: 몇 시야? B: 지금은 일곱 시야. A: 시간 좀 알 수 있을까? B: 지금은 일곱 시야.
"be ()ing 형태를 사용하여 현재 진행 중인 일을 물어보고 대답할 수 있어요.
Can ask and answer about what someone is doing using the be ()ing form.",A: What are you ________? B: I'm feeding the birds.,A: 지금 뭐하고 있어? B: 새들에게 먹이를 주고 있어.,working,doing,being,doing,2,B: I am ________.,B: 나는 새들에게 먹이를 주고 있어.,reading a book,feeding the birds,playing soccer,feeding the birds,2,A: What are you doing? B: I'm painting a picture. A: What is going on? B: I am painting a picture.,A: 지금 뭐하고 있어? B: 그림 그리고 있어. A: 무슨 일 하고 있어? B: 그림 그리고 있어.
"요일을 묻고 답하는 표현을 익히기.
Learn how to ask and answer about days of the week.",A: What day is today? B: It's ___.,A: 오늘이 무슨 요일이야? B: 오늘은 ___.,Monday,Friday,Sunday,Friday,2,A: Which day is it? B: It's ___.,A: 어느 요일이니? B: 오늘은 ___.,Tuesday,Saturday,Friday,Friday,3,"A: What day is it today? B: It's Monday. A: Could you tell me which day it is? B: Sure, it's Monday.","A: 오늘 무슨 요일이야? B: 오늘은 월요일이야. A: 오늘이 무슨 요일인지 알려줄래? B: 당연하지, 오늘은 월요일이야."
"직업에 대해 묻고 답할 수 있어요.
'What do you do?'를 통해 직업에 대해 질문하고 대답할 수 있어요.",A: ___ do you do? B: I'm a teacher.,A: 무슨 일을 하세요? B: 저는 선생님이에요.,When,What,Who,What,2,A: What's your profession? B: I'm a ___.,A: 직업이 뭐예요? B: 저는 선생님이에요.,engineer,teacher,driver,teacher,2,A: What do you do? B: I'm a doctor. A: What's your profession? B: I'm a doctor.,A: 무슨 일을 하세요? B: 저는 의사예요. A: 직업이 뭐예요? B: 저는 의사예요.
