Key Expression (한국어),Sub Expression (한국어)
A: 어떻게 지내? B: 나는 잘 지내고 있어.,A: 그동안 어떻게 지냈어? B: 나는 () 기분이야. A: 다 괜찮니? B: 나쁘지 않아.
공원에 가자.,우리 같이 ()하자. 우리 ()할까?
A: 내 백팩은 어디에 있어? B: 테이블 위에 있어.,A: 내 필통은 어디에 있어? B: 서랍 안에 있어. A: 내 신발은 어디에 있어? B: 의자 밑에 있어.
"A: 기뻐하니? B: 응, 그래.","A: 만족하고 있어? B: 응, 그래. A: 즐기고 있어? B: 응, 그래."
"A: 시끄럽게 말하지 마, 제발. B: 응, 안 할게.","A: 빨리 움직이지 마, 제발. B: 알겠어, 안 할게. A: 여기서 뛰지 마, 제발. B: 그래, 안 할게."
"A: 이거 네 가방이니? B: 응, 그래. / 아니, 아니야.","A: 이거 네 ()이니? B: 응, 그래. / 아니, 아니야. A: 이거 그녀의 것이니? B: 응, 그래. / 아니, 아니야."
A: 지금 몇 시야? B: 아홉 시야.,A: 지금 몇 시인지 알아? B: 지금 ()야. A: 지금 몇 시인지 말해줄래? B: 지금 ()야.
A: 뭐 하고 있어? B: 나는 새들에게 먹이를 주고 있어.,A: 무슨 일이야? B: 나는 () 하고 있어. A: 뭐 때문에 바쁘니? B: 나는 () 하고 있어.
A: 오늘 무슨 요일이야? B: 오늘은 금요일이야.,A: 무슨 요일이니? B: 오늘은 ()이야. A: 오늘 무슨 요일이야? B: 오늘은 ()이야.
A: 무슨 일을 하니? B: 나는 선생님이야.,A: 직업이 뭐니? B: 나는 ( )야. A: 직업이 뭐니? B: 나는 ( )야.
이 백팩 얼마야? — 15달러야.,이거 얼마야? — 이거는 (). 이 물건 가격이 얼마야? — 이거는 ().
A: 어떻게 지내? B: 나는 행복해.,A: 어떻게 지내고 있어? B: 나는 () 기분이야. A: 기분이 어때? B: 나는 ().
A: 그녀는 누구야? B: 그녀는 내 엄마야.,A: 저 사람은 누구야? B: 저 사람은 내 ()야. A: 그들은 누구야? B: 그들은 내 ()야.
B: 5시 40분이야.,A: 지금 몇 시야? B: ( )시야. A: 시간 좀 말해줄래? B: 대략 ( )시야.
