학습목표,Quiz 1,Korean 1,Option 1-1,Option 1-2,Option 1-3,Answer 1,Index 1,Quiz 2,Korean 2,Option 2-1,Option 2-2,Option 2-3,Answer 2,Index 2,샘플 스크립트 (영어),샘플 스크립트 (한국어)
"만날 때 인사하는 표현을 사용할 수 있어요.
You can greet someone using expressions like Hello and Hi!.",___ there!,"저기, 안녕!",Hello,Hi,Hey,Hi,2,___!,안녕!,Hey,Hello,Goodbye,Hello,2,"A: Hi there! B: Hey, it's been a while. A: Hello! How have you been? B: I've been doing great.","A: 안녕, 저기! B: 야, 오랜만이야. A: 안녕! 잘 지냈어? B: 난 잘 지내고 있어."
"극존칭 표현을 통해 정중하게 요청하고 긍정적으로 응답할 수 있어요.
You can use honorific expressions to make requests and respond positively.","A: ___, please. B: Sure.","A: 앉으세요, 부탁합니다. B: 네.",Stand up,Sit down,Lie down,Sit down,2,A: Please ___ a seat. B: Certainly.,A: 제발 자리에 앉으세요. B: 물론입니다.,make,take,offer,take,2,"A: Please have a seat. B: Absolutely. A: Kindly make yourself comfortable. B: Sure, thank you.","A: 자리에 앉으세요. B: 물론입니다. A: 편안하게 계세요. B: 네, 감사합니다."
"의문문을 활용하여 물건의 이름을 묻고 대답할 수 있어요.
You can ask and answer questions about objects using interrogative sentences.",A: ___ this? B: It's a box.,A: 이게 뭐예요? B: 이건 상자예요.,Where's,What's,Which,What's,2,A: What is this ___? B: It is a box.,A: 이거 뭐라고 부르죠? B: 이건 상자예요.,found,called,needed,called,2,A: What's this? B: It's a pen. A: What is this called? B: It is a pen.,A: 이게 뭐예요? B: 이건 펜이에요. A: 이걸 뭐라고 부르죠? B: 펜이라고 해요.
"좋아하는 음식에 대해 질문하고 대답할 수 있어요.
Do you like ()?와 Yes, I do. / No, I don't. 표현을 활용할 수 있어요.","A: Do you enjoy _____? B: No, I don't.","A: 아이스크림 즐겨 먹어? B: 아니, 안 좋아해.",burger,ice cream,salad,ice cream,2,"A: Do you like _____? B: Yes, I do.","A: 과일 좋아해? B: 응, 좋아해.",meat,fruit,vegetables,fruit,2,"A: Do you enjoy coffee? B: Yes, I do. A: Do you like green tea? B: No, I don't.","A: 커피 즐겨 마셔? B: 응, 마셔. A: 녹차 좋아해? B: 아니, 안 좋아해."
"동물의 수를 묻는 표현을 사용할 수 있어요.
‘How many’를 사용하여 동물의 수를 묻고 답할 수 있어요.",A: ___ are there? B: There are five lions.,A: 몇 마리의 사자가 있나요? B: 사자가 다섯 마리 있어요.,How many bears,How many lions,How many elephants,How many lions,2,B: There are ___ lions.,B: 사자가 ___ 마리 있어요.,six,five,ten,five,2,A: How many cats are there? B: There are three cats. A: How many dogs are there? B: There are two dogs.,A: 고양이가 몇 마리 있나요? B: 고양이가 세 마리 있어요. A: 개가 몇 마리 있나요? B: 개가 두 마리 있어요.
"상대방의 능력을 can과 관련된 표현으로 물어보고 대답할 수 있어요.
You can ask and answer questions about someone's abilities using 'can'.",___ you play the piano?,너는 피아노를 칠 수 있니?,Do,Can,Will you,Can,2,___ play the guitar?,너는 기타를 칠 수 있니?,Do you need to,Are you able to,Will you,Are you able to,2,"A: Can you sing a song? B: Yes, I can. A: Do you know how to dance? B: Yes, I can.","A: 노래를 부를 수 있니? B: 응, 할 수 있어. A: 춤출 줄 알아? B: 응, 할 수 있어."
"사물의 색깔에 관한 의문문과 답변을 할 수 있어요.
사물의 색 및 색조를 묻고 답하는 다양한 표현을 사용할 수 있어요.",A: What ___ is the car? B: It's blue.,차의 색깔이 뭐야? 파란색이야.,speed,color,price,color,2,A: What ___ is it? B: It's ().,그것의 색조가 뭐야? 답은 비어있어.,tone,shade,taste,shade,2,A: What color is the house? B: It's yellow. A: What tint does it have? B: It's bright.,A: 집의 색깔이 뭐야? B: 노란색이야. A: 어떤 색조를 갖고 있어? B: 밝은 색이야.
"Do you have ()?를 활용해 물건을 가지고 있는지 묻고 답할 수 있어요.
You can ask and answer whether someone has an item using 'Do you have ()?'.","A: Do you have a ___? B: Yes, I do. / No, I don’t.",A: 배낭 가지고 있어? B: 있어요. / 없어요.,laptop,backpack,book,backpack,2,"A: Do you have a ___? B: Yes, I do. / No, I don’t. A: Have you got a ___? B: Yes, I have. / No, I haven’t.",A: 배낭 가지고 있어? B: 있어요. / 없어요. A: 배낭 있어? B: 있어요. / 없어요.,scarf,bottle,backpack,backpack,3,"A: Do you have a notebook? B: Yes, I do. A: Have you got a calculator? B: No, I haven’t.","A: 공책 있어? B: 응, 있어. A: 계산기 있어? B: 아니, 없어."
"의문사 How를 사용하여 상대방의 나이를 물어보고 대답할 수 있어요.
You can ask and answer about age using 'How' expressions.",A: ___ are you? B: I’m seven years old.,A: 몇 살이세요? B: 저는 일곱 살입니다.,What old,How old,How many,How old,2,B: I’m ___ years old.,B: 저는 일곱 살입니다.,ten,seven,five,seven,2,A: How old are you? B: I’m eight years old. A: Could you tell me your age? B: I’m eight years old.,A: 몇 살이세요? B: 저는 여덟 살입니다. A: 나이를 알려줄래요? B: 저는 여덟 살입니다.
"의문문을 사용하여 상대방이 누구인지 물어볼 수 있어요.
의문문 형태 'Who is ()?'를 활용해 사람을 소개할 수 있어요.",A: Who is she? B: ___ is my teacher.,A: 그녀는 누구니? B: 그녀는 나의 선생님이야.,He,She,This,She,2,A: Who is he? B: ___ is my teacher.,A: 그는 누구니? B: 그는 나의 선생님이야.,That,He,She,He,2,A: Who is that? B: That is my friend. A: Who is he? B: He is my neighbor.,A: 저 사람은 누구예요? B: 저 사람은 내 친구예요. A: 그는 누구예요? B: 그는 내 이웃이에요.
