학습목표,Quiz 1,Korean 1,Option 1-1,Option 1-2,Option 1-3,Answer 1,Index 1,Quiz 2,Korean 2,Option 2-1,Option 2-2,Option 2-3,Answer 2,Index 2,샘플 스크립트 (영어),샘플 스크립트 (한국어)
"자신의 학년을 묻고 답하는 표현을 배울 수 있어요.
Practice asking and answering about your grade.",A: What grade are you in? B: I'm in ___ grade.,A: 몇 학년이세요? B: 저는 3학년이에요.,first,third,second,third,2,A: Which grade are you in? B: I'm in ___ level.,A: 몇 학년이세요? B: 저는 3학년이에요.,fifth,third,first,third,2,A: What grade are you in? B: I'm in sixth grade. A: Which grade do you attend? B: I'm in sixth grade.,A: 몇 학년이세요? B: 저는 6학년이에요. A: 어느 학년에 다니세요? B: 저는 6학년이에요.
"음식에 대해 묻고 답할 수 있어요.
Ask and answer about food using 'Would you like ()?' expressions.","I'd like ______, please.",딸기 아이스크림을 주세요.,vanilla milkshake,strawberry ice cream,chocolate cake,strawberry ice cream,2,I'd like ______.,피자를 주세요.,pizza,salad,pasta,pizza,1,"A: What would you like? B: I'd like chocolate cake, please. A: What do you want to eat? B: I'd prefer lemonade.",A: 무엇을 원하세요? B: 초콜릿 케이크 주세요. A: 무엇을 드시겠어요? B: 레모네이드를 선호해요.
"선호하는 과목에 대해 묻고 답할 수 있어요.
You can ask and answer questions about your favorite school subject.",A: What’s your ______? B: My favorite subject is art.,A: 가장 좋아하는 학교 과목이 무엇이야? B: 내가 가장 좋아하는 과목은 art야.,most challenging subject,favorite school subject,preferred subject,favorite school subject,2,B: My favorite subject is ______.,B: 내가 가장 좋아하는 과목은 art야.,history,art,science,art,2,A: Which subject do you prefer? B: I really enjoy art because it lets me be creative. A: What class do you find the most interesting? B: Definitely art is the best for me.,"A: 어떤 과목을 더 좋아해? B: 나는 art를 정말 즐겨, 창의력을 발휘할 수 있으니까. A: 가장 흥미로운 수업은 무엇이라고 생각해? B: 당연히 art가 제일 좋아."
"다양한 제안 표현을 사용할 수 있어요.
문장에서 How about ()를 활용해 제안하기를 배울 수 있어요.",How about ________?,종이봉투 재사용하는 건 어때?,using paper bags,recycling paper bags,reusing paper bags,reusing paper bags,3,What do you think of ________?,재사용 가능한 용기를 사용하는 것에 대해 어떻게 생각해?,using reusable containers,using disposable containers,using recyclable containers,using reusable containers,1,A: How about using e-books instead of paper? B: That's an innovative idea! A: What do you think of trying online quizzes for study? B: I completely agree with the strategy.,A: 종이 대신 전자책을 사용하는 건 어때? B: 혁신적인 아이디어야! A: 공부를 위해 온라인 퀴즈를 시도하는 것에 대해 어떻게 생각해? B: 전략에 전적으로 동의해.
"길을 묻는 질문과 방향 안내 표현을 익힐 수 있어요.
다양한 장소로의 길 안내 방법을 배울 수 있어요.",A: Where is the ___? B: Go straight and take a right.,A: 우체국이 어디에 있어요? B: 직진 후 오른쪽으로 가세요.,hospital,post office,cinema,post office,2,A: How do I get to the ___? B: Continue forward and then turn towards the market. A: Can you tell me the way to the market? B: Walk along the path and make a right turn.,A: 시장에 어떻게 가나요? B: 계속 직진한 후에 오른쪽으로 가세요. A: 시장까지 어떻게 가는지 알려줄 수 있나요? B: 길을 따라가서 우회전하세요.,bank,mall,market,market,3,"A: Excuse me, where is the train station? B: Go straight and then turn left. A: Can you tell me how to get to the museum? B: Walk straight ahead and take the second right.","A: 실례합니다, 기차역이 어디에 있나요? B: 직진 후 왼쪽으로 가세요. A: 박물관에 어떻게 가는지 알려주세요? B: 쭉 가다가 두 번째 오른쪽으로 도세요."
"비교급 표현을 활용하여 사물을 비교할 수 있어요.
You can compare objects using comparative expressions.",My bike is ___ than yours.,내 자전거는 네 것보다 새거야.,faster,newer,heavier,newer,2,This book is ___ than that one.,이 책은 저것보다 두꺼워.,smaller,thicker,heavier,thicker,2,"A: My tablet is lighter than yours. B: Wow, that's impressive! A: And your headphones are louder than mine. B: Yes, they really deliver great sound.","A: 내 태블릿은 네 것보다 가벼워. B: 와, 대단하다! A: 그리고 네 헤드폰은 내 것보다 소리가 커. B: 맞아, 정말 훌륭한 음질이야."
"will을 사용하여 미래 계획을 묻고 대답할 수 있어요.
You can ask and answer questions about your future plans using will.",What ___ you do next weekend?,다음 주말에 무엇을 할 거야?,can,will,would,will,2,I'm ___ to go hiking this afternoon.,오늘 오후에 하이킹할 계획이야.,willing,planning,hoping,planning,2,A: What will you do during the holiday? B: I’ll visit a museum. A: Do you have any plans for tonight? B: I’m planning to try a new restaurant.,A: 휴가 동안 뭐 할 거야? B: 나는 박물관을 방문할 거야. A: 오늘 밤에 무슨 계획 있어? B: 새로운 레스토랑에 가보려고 해.
"과거 경험을 묻고 답하는 표현을 사용할 수 있어요.
How was your day? 와 같은 표현과 경험에 대해 이야기하는 문장을 이해할 수 있어요.",A: ___ was your day? B: It was enjoyable. I went to the park.,너의 하루가 어땠는지 묻고 답하는 대화입니다.,When,How,What,How,2,A: What was your experience like? B: It was _____. I enjoyed it. A: How did it go? B: It was fine. I practiced.,경험이 어땠는지 묻는 대화입니다. 첫 번째 답변의 빈칸을 채워보세요.,ordinary,fantastic,terrible,fantastic,2,A: How was your weekend? B: It was relaxing. I took a short trip. A: What was your experience like? B: It was memorable. I enjoyed every moment.,A: 주말은 어땠어? B: 편안했어. 짧은 여행을 다녀왔어. A: 경험은 어땠어? B: 기억에 남을 만큼 좋았어. 모든 순간을 즐겼어.
"빈도수를 묻는 표현을 사용할 수 있어요.
How often do you ()? 를 활용하여 빈도수를 묻고 답할 수 있어요.",How often do you ___?,얼마나 자주 책을 읽습니까?,watch TV,read books,eat food,read books,2,How frequently do you ___?,얼마나 자주 책을 읽습니까?,play games,cook dinner,read books,read books,3,A: How often do you read books? B: I usually read them every morning. A: How frequently do you read books? B: I read them twice a week.,A: 너는 얼마나 자주 책을 읽니? B: 나는 보통 아침마다 책을 읽어. A: 너는 얼마나 자주 책을 읽니? B: 나는 주에 두 번 책을 읽어.
"좋아하는 것에 대해 질문하고 대답할 수 있어요.
You can ask and answer questions about what you like.",A: What season do you enjoy? B: I ___ spring as the flowers bloom beautifully.,A: 어느 계절을 좋아하니? B: 나는 꽃이 아름답게 피기 때문에 봄을 선호해.,like,prefer,enjoy,prefer,2,A: Which season do you like most? B: I ___ spring because the flowers bloom.,A: 어느 계절을 가장 좋아하니? B: 나는 꽃이 피기 때문에 봄을 즐겨.,enjoy,love,prefer,enjoy,1,"A: What season do you prefer the most? B: I prefer summer because it feels relaxing. A: Do you like summer activities? B: Yes, I enjoy swimming and outdoor games.","A: 가장 좋아하는 계절이 뭐야? B: 나는 여름을 선호해, 왜냐하면 편안한 느낌을 주거든. A: 여름 활동을 좋아해? B: 응, 수영과 야외 놀이를 즐겨."
