example_english,example_korean
The little house lies near the quiet park.,작은 집은 조용한 공원 옆에 있어요.
The colorful blanket lies on the neat bed.,화려한 이불이 단정한 침대 위에 펼쳐져 있어요.
Plants need water to support life every day.,식물은 매일 생명을 유지하기 위해 물이 필요해요.
Every day my life is fun and simple.,매일 내 생활은 재미있고 단순해요.
My life is always full of fun moments.,내 인생은 매일 웃음과 꿈으로 가득해요 정말 행복해요.
The empty room feels lifeless without any art.,빈 방은 활기가 없어요.
He always enjoys adventures for his entire lifetime.,그는 평생 모험을 항상 즐겨요.
My tiny goldfish has a very short lifetime.,내 작은 금붕어는 아주 짧은 수명을 가지고 있어요.
The small lamp lights up our dark room.,작은 램프가 우리 어두운 방을 밝게 비추어요.
This bright lamp gives a warm soft light.,이 밝은 전등은 따뜻한 부드러운 빛을 줘요.
I quickly switch on the light for dinner.,저는 저녁을 위해 전등을 빨리 켜요.
"Everyone has a light, unique perspective in life.",모든 사람은 인생에서 고유한 관점을 가져요.
We always light up our house with lamps.,우리는 항상 전등으로 우리 집을 밝혀요.
The stars always light up the dark night.,별들은 항상 어두운 밤을 환하게 해요.
The lighthouse shines bright near the rocky sea.,등대가 바위 근처에서 밝게 빛나요.
The huge lightning struck the tall oak tree.,커다란 번개가 큰 참나무를 쳤어요.
I like to play soccer with my friends.,나는 친구들과 축구를 하는 것을 좋아해요.
This apple is just like a red pear.,이 사과는 빨간 배와 같은 모양이에요.
Anna and Tom are like-minded friends at school.,안나와 톰은 뜻이 같은 친구에요.
We squeeze a lime into our water today.,오늘 우리는 물에 라임을 짜 넣어요.
Farmers often add lime to the garden soil.,농부들이 자주 정원 흙에 석회를 넣어요.
The school has limited resources for new books.,학교에는 새로운 책을 위한 제한된 자원이 있어요.
All students must line up at the door.,모든 학생은 문 앞에서 줄 서야 해요.
Please draw a blue line on your paper.,종이에 파란 줄을 그려 주세요.
The red line runs exactly along the road.,빨간 선은 도로를 따라 정확하게 뻗어요.
I draw a small line in my notebook.,나는 내 공책에 작은 행을 그려요.
A moving line in a song comforts me.,노래 가사의 한 줄이 내 마음을 위로해요.
The actor recited his famous line on stage.,그 배우는 무대에서 유명한 대사를 암송했어요.
The actor memorized every line for the play.,배우는 연극의 대사를 외웠어요.
The phone line always works during school hours.,학교 시간 동안 전화선은 항상 작동해요.
The bus follows a new line route daily.,버스는 새로운 노선으로 매일 운행해요.
The children always line up neatly before class.,어린이들은 항상 교실 전에 줄을 서요.
The strong lion sleeps under the bright sun.,강한 사자가 밝은 태양 아래에서 자고 있어요.
Please listen to the teacher's kind voice now,제발 선생님의 친절한 목소리를 지금 들어요.
The listener happily listens to the clear music.,청취자는 맑은 음악을 행복하게 들어요.
My literary friend enjoys reading classic short novels.,내 문학적인 친구는 고전 소설을 즐겨 읽어요.
I read literature and learn history every day.,나는 매일 문학을 읽고 역사를 배워요.
I love reading literature for a printed guide.,저는 인쇄된 안내를 위해 문학 읽기를 좋아해요.
That little boy laughs with his best friend.,저 어린 소년은 친구와 함께 웃어요.
My little sister happily baked a tasty cake.,내 작은 여동생은 기쁘게 맛있는 케이크를 구웠어요.
I have very little money to buy apples.,나는 사과를 사기 위해 거의 없는 돈이 있어요.
Family members live together in a warm home.,가족 구성원들이 따뜻한 집에서 함께 살아요.
I saw a live fish at the zoo.,저는 동물원에서 살아있는 물고기를 봤어요.
I watched live news on my computer today.,나는 오늘 내 컴퓨터로 생방송 뉴스 봤어요.
He always chooses to live by his creed.,그는 언제나 자신의 신조에 따라 살아요.
The lively crowd happily cheered at the game.,활기 넘치는 군중이 경기장에서 행복하게 응원했어요.
The lively dance party excited all young students.,격렬한 댄스 파티가 모든 학생들을 신나게 했어요.
The small green lizard climbs the tall tree.,작은 초록 도마뱀이 높은 나무를 올라요.
Our classroom location is close to the park.,우리 교실 위치는 공원 가까이에 있어요.
The location scout finds places for movie shooting.,촬영 장소를 섭외하는 사람 영화 촬영지를 찾아요.
I always keep my lunch in my locker.,나는 항상 내 사물함에 점심을 보관해요.
The teacher explains logic in simple class problems.,선생님은 쉬운 수업 문제에서 논리를 설명해요.
His simple plan is logical and very fitting.,그의 간단한 계획은 논리적이고 아주 적절해요.
My friend always uses logical steps to explain.,내 친구는 항상 논리적인 방법으로 설명해요.
Loneliness can really feel deep and hard sometimes.,고독은 때로 정말 깊고 힘들어요.
The lonely man sits by the old river.,고독한 남자가 오래된 강가에 앉아요.
The lonely girl sings a very soft song.,외로운 소녀가 아주 부드러운 노래를 불러요.
I really long for a small sweet candy.,저는 정말로 작은 달콤한 사탕을 갈망해요.
My pencil is long and very thin today.,내 연필은 길이가 길고 매우 얇아요.
My homework paper is really long and heavy.,내 숙제 종이가 정말 길고 무거워요.
She feels a deep longing for new friends.,그녀는 새로운 친구들을 간절히 바라고 있어요.
Every heart feels a strong longing for love.,모든 마음은 사랑을 간절히 바라는 감정을 느껴요.
I always look at the shining bright stars.,나는 항상 반짝이는 밝은 별들을 봐요.
The old building looks like a castle now.,오래된 건물이 지금 성처럼 보여요.
I gave a very friendly look to Emma.,나는 에마에게 아주 친근한 눈길을 보냈어요.
Her look is always simple and very charming.,그녀의 외모는 항상 단순하고 매우 매력적이에요.
Her bright happy look makes everyone feel cheerful.,그녀의 밝은 행복한 표정이 모두를 기쁘게 해요.
I often look across the street at cats.,나는 자주 길 건너다봐요.
I look after my little brother each day.,나는 매일 내 동생을 돌봐요.
Please look at the very beautiful blue sky.,아주 아름다운 파란 하늘을 보세요.
I sometimes look back and regret my mistakes.,나는 가끔 뒤돌아보고 실수를 후회해요.
Please quickly look back on your happy memories.,항상 행복한 기억을 되돌아보세요.
I always look for my missing black cat.,저는 항상 잃어버린 검은 고양이를 찾아요.
We really look forward to the school picnic.,우리는 학교 소풍을 정말 기대해요.
My mom will look into the strange noise.,우리 엄마가 이상한 소음을 들여다볼 거예요.
My best friend looks like a movie star.,내 가장 친한 친구는 영화배우처럼 보여요.
We often look up at the clear sky.,우리는 자주 맑은 하늘을 올려다 봐요.
Please quickly look up new words in dictionary.,사전에서 새 단어들을 빨리 찾아보세요.
The knot was tied loosely in the wind.,매듭이 바람에 느슨하게 묶였어요.
She can really loosen the knot with ease.,그녀는 매듭을 쉽게 풀 수 있어요.
My teacher helps me loosen tight knots easily.,선생님이 제 단단한 매듭을 느슨하게 해 주세요.
Tom always listens to music to loosen up.,톰은 항상 음악을 들어서 긴장을 풀어요.
There are lots of apples on the table.,테이블 위에 사과가 많아요요.
The teacher spoke very loudly in the classroom.,선생님이 교실에서 큰 소리로 말했어요.
I really love spending time with my friends.,저는 정말 친구들과 시간을 보내는 것을 사랑해요.
My dog is lovely and full of joy.,내 강아지는 사랑스럽고 기쁨이 가득해요.
The lovely puppy runs fast in the park.,아주 좋은 강아지가 공원에서 빠르게 달려요.
The low was recorded during the cold day.,추운 날에 최저치가 기록되었어요.
The bird sits on a very low branch.,새가 매우 낮은 가지에 앉아 있어요.
Please lower your voice in the classroom now.,제발 교실에서 목소리를 낮춰 주세요요.
Please use the lower shelf for our toys.,장난감을 위해 아래쪽 선반을 사용해 주세요.
A true friend shows loyalty to our group.,진정한 친구는 우리에게 충성을 보여요.
Good luck always makes our games extra fun.,좋은 운은 언제나 우리 게임을 더욱 재미있게 해요.
"Luckily, my friend quickly found a lost wallet.","다행히, 내 친구가 잃어버린 지갑을 빨리 찾았어요."
My brother is always lucky on his birthday.,내 동생은 생일에 항상 운이 좋아요.
The lunar surface glows under the starry sky.,달의 표면이 별빛 아래서 빛나요.
I always eat a warm lunch at school.,저는 항상 학교에서 따뜻한 점심식사를 먹어요.
Our class enjoys a long lunch break today.,우리 반은 오늘 긴 점심시간을 즐겨요.
School friends talk happily at lunchtime every day.,학교 친구들은 매일 점심시간에 즐겁게 이야기해요.
My lung helps me breathe air every day.,내 폐가 매일 공기를 마시도록 도와줘요.
My small lung helps me breathe fresh air.,내 작은 폐는 신선한 공기를 숨 쉬게 도와요.
The hotel room was truly luxurious and comfortable.,호텔 방은 정말 사치스러워요.
I always get mad when they tease me.,나는 그들이 놀릴 때 항상 화가 나요.
The mad dog barked loudly at the stranger.,미친 개가 낯선 사람에게 크게 짖어요.
I baked a sweet madeleine with my friend.,나는 친구와 함께 달콤한 마들렌을 구웠어요.
The puppy ran madly around the backyard today.,강아지가 오늘 미친 듯이 뒷마당에서 뛰어다녔어요.
The magician did a magic trick on stage.,마술사는 무대에서 마술 묘기를 했어요.
The fairy used magical wand to transform objects.,요정은 마술적인 지팡이로 물건을 변신시켰어요.
The magician skillfully performed tricks for happy children.,마술사가 능숙하게 마술을 보여줬어요.
A simple magnet can stick on metal easily.,간단한 자석은 금속에 쉽게 달라붙을 수 있어요.
Please mail that letter to my school friend.,제발 그 편지를 내 학교 친구에게 부쳐 주세요.
The postman quickly delivered our important mail today.,우체부가 오늘 중요한 우편을 배달했어요.
The mail carrier brings letters to us daily.,우편배달부가 매일 우리에게 편지를 가져와요.
I put my letter in the red mailbox.,나는 빨간 우체통에 내 편지를 넣어요.
She eats vegetables mainly for a healthy lifestyle.,그녀는 건강한 생활을 위해 채소를 주로 먹어요.
Time makes a little seed become a tree.,시간은 작은 씨앗이 나무가 돼요.
I make a small kite with bright colors.,나는 밝은 색깔로 작은 연을 만들어요.
I want to make money by working hard.,나는 열심히 일하면서 돈을 벌고 싶어요.
I will make a copy of my homework.,나는 숙제를 복사할 거예요.
I will make a good decision right now.,나는 지금 좋은 결정을 할 거예요.
I want to make a friend at school.,나는 학교에서 친구를 사귀고 싶어요.
They always work hard to make a living.,그들은 항상 열심히 일해서 생계를 이어가요.
I sometimes make a mistake in math tests.,나는 때때로 수학 시험에서 실수해요.
We always make a signal before class starts.,우리는 수업 시작 전에 항상 신호해요.
Your help will make a world of difference.,너의 도움은 큰 차이를 만들어요.
We will make an arrangement for a meetup.,우리는 만남을 위해 약속을 정할 거예요.
I like to make many friends at school.,나는 학교에서 많은 친구를 사귀어요.
Friendly students sometimes make fun of noisy classmates.,친절한 학생들은 때때로 시끄러운 반 친구들을 놀려요.
I hope to make it to art class.,저는 미술 수업에 꼭 참석하고 싶어요.
They make it at the park every Sunday.,그들은 매주 일요일 공원에서 만나기로 해요.
They barely make it to school on time.,그들은 간신히 제시간에 학교에 도착해요.
You definitely can make it if you try.,너는 분명히 해낼 수 있어요.
Do not make much noise in our classroom.,우리 교실에서 너무 많이 소란스럽게 하지 마세요.
A kind word can make one's day brighter.,친절한 말이 하루를 더 즐겁게 할 수 있어요.
They always make up puzzles and fun games.,그들은 매일 항상 재미있는 퍼즐과 놀라운 게임을 만들어요.
They always make up fun games after school.,그 아이들은 매일 학교 후에 재미있는 게임을 지어내요.
I went to the mall with my friends.,나는 내 친구들과 쇼핑몰에 갔어요~요.
The kind man always helps his dear friends.,친절한 사람은 언제나 소중한 친구들을 도와줘요.
A tall man drinks water in the park.,키 큰 남자가 공원에서 물을 마셔요.
The smart manager organizes the team at work.,똑똑한 관리자는 회사에서 팀을 관리해요.
The skilled manager leads the team during games.,숙련된 감독은 경기 중에 팀을 이끌어요.
My history book clearly shows maps of Manchuria.,내 역사 책은 만주의 지도를 분명히 보여줘요.
Good manners always show respect to everyone daily.,좋은 예의는 항상 모두에게 존경을 보여줘요.
There are many red apples in the basket.,바구니에는 많은 빨간 사과가 있어요.
He maps the neighborhood carefully on his paper.,그는 종이에 동네를 상세하게 그려요.
Young scientists map new stars in night sky.,어린 과학자들이 밤하늘의 새로운 별들을 밝혀내요.
I always use a map to find treasure.,나는 항상 지도를 사용해 보물을 찾아요.
Our team ran a fun marathon near home.,우리 팀은 집 근처에서 재미있는 마라톤을 달렸어요.
I use a bright red marker for notes.,나는 밝은 빨간색 마커를 사용해요.
My kind parents have a good marriage together.,우리 부모님은 행복한 결혼 생활을 해요.
Alice and Tom will happily marry in June.,앨리스와 톰은 6월에 기쁘게 결혼할 거예요.
Mars is a red planet with one moon.,화성은 빨간 행성이고 하나의 달이 있어요.
They always match up their shoes by color.,그들은 항상 색깔별로 신발을 맞추어요.
That shirt will match with your new jacket.,이 셔츠는 네 새 재킷과 완벽히 잘 조화되요.
I like math because it is really fun.,저는 수학을 정말 재밌게 배워요.
Mathematics always teaches us how to solve problems.,수학은 언제나 우리에게 문제를 푸는 법을 가르쳐요.
A new mattress always makes sleep very comfortable.,새 매트리스는 항상 잠을 매우 편안하게 만들어요.
Our fun school trip will be in May.,우리 즐거운 소풍은 5월에 있어요.
The old Mayan people built many stone temples.,오래된 마야 사람들은 많은 돌 사원을 지었어요.
We quickly lost our way in the maze.,우리는 미로에서 길을 잃었어요.
The maze causes much confusion among the students.,미로는 학생들에게 많은 혼란을 줘요.
What is the true meaning of this word?,이 단어의 진짜 뜻이 뭐예요?
This book gives a meaningful and clear message.,이 책은 의미심장하고 명확한 메시지를 줘요.
"She reads a book, meanwhile her friend listens.","그녀는 책을 읽어요, 반면에 친구는 들어요."
"It was hot; meanwhile, we ate cold pizza.",날씨가 무더웠어요; 한편 우리는 차가운 피자를 먹었어요~요
I studied hard meanwhile my friends played outside.,나는 열심히 공부했어요 그동안에 친구들이 밖에서 놀았어요~요.
My dad roasts meat on the barbecue grill.,아빠는 바비큐 그릴에서 고기를 구워요.
My friend won a shiny medal in race.,내 친구는 경주에서 빛나는 메달을 땄어요.
I always meet my deadline before school starts.,나는 학교 시작 전 언제나 기한을 지켜요.
I happily meet my best friend at school.,나는 학교에서 가장 친한 친구를 만나요.
A good sleep always meets our daily needs.,좋은 잠은 우리의 일상 필요를 만족시켜요.
The blue ball meets all my play needs.,파란 공은 내 놀이 필요를 모두 충족시켜요.
Our local sports meet is very exciting today.,우리 동네 운동 경기가 오늘 매우 신나요.
Every member in our club likes ice cream.,우리 클럽의 모든 회원들은 아이스크림을 좋아해요.
I wrote a short memo today for school.,저는 오늘 학교를 위해 짧은 메모를 썼어요.
I always try to quickly memorize new words.,나는 항상 새 단어를 빨리 외워요.
