example_english,example_korean
My friend speaks English with a clear accent.,내 친구는 영어를 명확한 강세로 말해요.
She speaks fluent English with a clear accent.,그녀는 뚜렷한 억양으로 영어를 말해요.
The big store advertises new toys on TV.,큰 가게가 새로운 장난감을 TV에서 광고해요.
They carefully advertize the new product on TV.,그들은 새 제품을 TV에서 광고해요.
The reliable airline offers many safe easy flights.,믿을 수 있는 항공사는 많은 안전한 쉬운 비행을 제공해요.
My alarm rings loudly to wake me up.,내 알람이 크게 울려서 나를 깨워요.
My alarm rings loudly every morning on weekdays.,내 자명종은 매일 아침 평일에 크게 울려요.
Alcohol can sometimes be found in some medicines.,알코올은 때때로 약에 들어 있어요.
My friend always speaks aloud in our class.,내 친구는 항상 우리 반에서 소리 내어 말해요.
The magic trick can truly amaze all children.,그 마술은 모든 아이들을 놀라게 해요.
The funny clown amuses the happy children daily.,재미있는 광대가 행복한 아이들을 즐겁게 해요.
The teacher did a careful analysis of text.,우리 선생님은 글의 분석을 했어요.
Loud noises can really annoy my little sister.,시끄러운 소리가 정말 내 여동생을 화나게 해요.
A very tiny ant carries a heavy crumb.,아주 작은 개미가 무거운 부스러기를 옮겨요.
The smart applicant submitted his application form today.,영리한 신청자가 오늘 신청서를 제출했어요.
I enjoy crispy bacon with eggs every morning.,나는 매일 아침 바삭한 베이컨을 즐겨요.
The small boat sails near the peaceful bay.,작은 배가 평화로운 만 근처로 항해해요.
The bay is a calm and quiet area.,만은 차분하고 조용한 구역이에요.
We happily drank a cold beer at dinner.,우리 즐겁게 저녁에 차가운 맥주를 마셨어요.
Her strong belief makes life full of hope.,그녀의 강한 믿음이 삶에 희망을 줘요.
Her firm belief always helps her stay strong.,그녀의 확고한 신념은 항상 그녀에게 힘을 줘요.
The small bench sits under the tall tree.,작은 벤치가 큰 나무 아래에 있어요.
His skill is really beyond our normal level.,그의 실력은 우리 평범한 수준을 능가해요.
The small dog runs beyond the long fence.,작은 개가 긴 울타리 저편에 달려가요.
Please bind the rope tightly around the box.,박스를 단단히 묶어 주세요요.
I always bless my friends with kind words.,저는 친구들에게 친절한 말로 축복해요.
The small bakery will boom in our town.,우리 동네의 작은 빵집이 번창해요.
The loud airplane engine will boom during takeoff.,비행기 엔진이 이륙할 때 윙윙 울려요.
The drill bore a hole in the wood.,드릴이 나무에 구멍을 뚫었어요.
A boring movie always bore all my friends.,지루한 영화는 항상 내 친구들을 지루하게 했어요.
The old book did bore my best friend.,오래된 책이 내 가장 친한 친구를 지루하게 했어요.
Good leaders boss their teams with kind fairness.,좋은 리더들은 팀을 친절하게 지배해요.
My boss always helps me finish each task.,나의 상사는 항상 나에게 각 과제를 끝내도록 도와줘요.
He quickly pressed the brake before the turn.,그는 회전하기 전에 브레이크를 빠르게 눌렀어요.
I see many big bubbles at the park.,나는 공원에서 많은 큰 거품을 보아요.
My little brother always bugs me during homework.,내 동생은 숙제할 때 항상 저를 괴롭혀요.
I saw a tiny bug on green leaf.,나는 초록 잎 위에 작은 벌레를 봤어요.
My computer encountered a tiny bug this morning.,내 컴퓨터가 오늘 아침 작은 컴퓨터상의 오류를 만났어요.
My small bush grows next to our house.,내 작은 수풀은 우리 집 옆에서 자라요.
I need a strong cable for my TV.,저는 TV에 강한 케이블이 필요해요.
I always use my calculator in math class.,나는 항상 수학 수업에서 계산기를 사용해요.
I mark every special day on my calendar.,나는 오늘 달력에 모든 소중한 특별한 날을 표시해요.
I always write my schedule in the calendar.,나는 항상 내 일정을 일정표에 기록해요.
The brave hero wore a flowing red cape.,용감한 영웅이 흐르는 빨간 망토를 입었어요.
The new catalog shows many colorful fun toys.,새 카탈로그 가 많은 재미있는 색깔 장난감을 보여요.
The store always shows a clear product catalogue.,상점은 항상 명확한 상품목록을 보여줘요.
Kids chain red boxes using a strong rope.,아이들이 빨간 상자를 강한 밧줄로 묶어요.
My strong chain secures the gate at school.,내 튼튼한 사슬이 학교 문을 지켜요.
He found a cigarette under the old bench.,그는 오래된 벤치 밑에서 담배를 발견했어요.
Modern commerce supports growth in small town markets.,현대 상업은 우리 작은 동네 시장의 성장을 도와요.
I use context to learn order of events.,나는 전후 관계로 사건 순서를 배워요.
The context always helps us understand difficult passages.,문맥은 어려운 글을 이해하는 데 항상 도움 돼요.
We always converse quietly at school during recess.,우리는 항상 학교에서 쉬는 시간에 조용히 이야기해요.
The list of items is in converse order.,항목들의 순서가 거꾸로 되어 있어요.
The kind cop quickly helped a lost child.,친절한 경찰이 길 잃은 아이를 빨리 도왔어요.
Our friendly county has many parks and schools.,우리 친절한 군에는 많은 공원과 학교가 있어요.
"My county is small, safe, and very calm.",내 자치주는 작고 안전하며 아주 조용해요.
The cruel bully always teased his kind friend.,잔인한 괴롭히는 아이가 항상 착한 친구를 놀렸어요.
His curiosity leads him to learn new things.,그의 호기심이 그를 새로운 것을 배우게 해요.
"I cycle to school on bright, clear mornings.",나는 밝고 맑은 아침에 학교에 자전거를 타고 가요.
I love riding my cycle to school daily.,나는 매일 학교에 자전거를 타요.
The water cycle repeats every hot summer day.,물의 순환은 여름에 반복돼요.
The young cyclist rides his bike every day.,어린 자전거 타는 사람은 매일 자전거를 타요.
I am in Andrew's debt for his help.,나는 앤드류의 도움에 신세졌어요.
My parents pay a big debt every day.,부모님은 매일 큰 빚을 갚아요.
The team's defense stops the ball very well.,팀의 수비가 공을 아주 잘 막아요~요.
We clearly define each new word for clarity.,우리는 각 새로운 단어를 명확하게 정의해요.
I have a definite answer for you now.,나는 지금 확실한 대답을 가지고 있어요.
He uses a tool to depress the button.,그는 버튼을 내리누르기 위해 도구를 사용해요.
Dark gray clouds can depress my happy mood.,어두운 회색 구름이 내 행복한 기분을 우울하게 해요.
I do not want to disappoint my friend.,내 친구를 실망시키고 싶지 않아요.
The boss decided to discharge the worker today.,사장님이 오늘 직원을 해고했어요.
Factories always discharge  safe water into the river.,공장은 항상 강에 안전한 물을 방출해요.
The gas discharged slowly from the long pipe.,긴 파이프에서 가스가 천천히 흘러나왔어요.
His rude joke caused disgust among his friends.,그의 무례한 농담은 친구들에게 혐오감을 줬어요.
My parents decided on a divorce last summer.,우리 부모님은 지난 여름에 이혼하기로 결정했어요.
My friend kindly gave me one dozen flowers.,친구가 저에게 한 다스 꽃을 친절히 주셨어요.
The doctor gave a drug to help you.,의사가 당신을 돕기 위해 약을 주었어요.
My headache will ease after I take medicine.,내 두통은 약을 먹으면 덜해져요.
A gentle push can ease the heavy door.,부드러운 밀기가 무거운 문을 수월하게 해요.
I finish my homework with ease every day.,저는 매일 숙제를 쉽게 끝내요.
