id,WordText,WordMeaning,PoSText
7252,express,표현하다,동사
7253,model,"본보기,모범",명사
7254,potato chips,"(미국)감자칩, (영국)감자튀김",명사
7255,lunch box,도시락,명사
7256,otter,수달,명사
7257,may,~해도 좋다,동사
7258,with all one's might,"전력을 다하여,힘껏",숙어/관용어
7259,be in charge of,~을 담당하다,동사
7260,fact,사실,명사
7261,do one's homework,숙제를 하다,숙어/관용어
7262,chase away,쫓아버리다,숙어/관용어
7263,eastern,동쪽의,형용사
7264,have in common,~을 공통으로 지니다,숙어/관용어
7265,western,"서쪽의,서양의",형용사
7266,westerner,서양인,명사
7267,city hall,시청,명사
7268,ferris wheel,대형 회전 관람차,명사
7269,a sea of,"~의 바다,다량의~",숙어/관용어
7270,do one's own thing,자기가 하고 싶은 일을 하다,숙어/관용어
7271,hardworking,근면한,형용사
7272,put first,~을 우선시하다,숙어/관용어
7273,let's say that,~라고 하자,숙어/관용어
7274,work out,(일이) 잘 풀리다,숙어/관용어
7275,catch one's interest,~의 관심을 끌다,숙어/관용어
7276,sound the alarm,경보를 울리다,숙어/관용어
7277,exist,"존재하다,있다",동사
7278,ceiling,천장,명사
7279,cause,야기시키다,동사
7280,cause,원인,명사
7281,century,세기,명사
7282,date,데이트,명사
7283,dig,파다,동사
7284,God,"신,하나님",명사
7285,home run,홈런,명사
7286,lotus flower,연꽃,명사
7287,the Northern Lights,"오로라,북극광",명사
7288,not only A but also B,A뿐만 아니라 B도,숙어/관용어
7289,arctic,북극,명사
7290,exhibit,전시하다,동사
7291,exhibit,전시품,명사
7292,put A into practice,A를 실행하다,숙어/관용어
7293,backward,후방에,부사
7294,be honored,영광스럽다,숙어/관용어
7295,be stuck on,~에 갇히다,숙어/관용어
7296,bring to one's attention,~에 ~가 주목하게 하다,숙어/관용어
7297,devote one’s life to,~에 일생을 바치다,숙어/관용어
7298,in comparison,비교해 보면,숙어/관용어
7299,put one's heart into,"~에 정열을 쏟다,~에 열중하다",숙어/관용어
7300,wish ~ the best of luck,"~가 잘 되기를 빌다, ~의 행운을 빌다",숙어/관용어
7301,at the top of one's lungs,(목청이 터지도록)큰소리로,숙어/관용어
