id,WordText,WordMeaning,PoSText
23652,manufacturing,제조(업),명사
23653,manure,"비료,거름",명사
23654,marble,대리석,명사
23655,march,행진(곡),명사
23656,march,(단호하게) 걸어가다,동사
23657,march,행진하다,동사
23658,markedly,현저하게,부사
23659,martial art,무술,명사
23660,Martian,"화성의,화성인의",명사
23661,marvelous,"놀라운,훌륭한",형용사
23662,marvelous,"굉장한,불가사의한",형용사
23663,mascot,마스코트,명사
23664,mass-produce,(기계를 이용하여) 대량 생산하다,동사
23665,massive,거대한,형용사
23666,massive,엄청난,형용사
23667,master plan,종합 계획,명사
23668,masterpiece,걸작,명사
23669,mastery,"숙달,통달",명사
23670,materialistic,물질주의적인,형용사
23671,mathematician,수학자,명사
23672,matter,"문제,상황",명사
23673,matter,중요하다,동사
23674,matter,(일반적인) 물질,명사
23675,matter,"중요하다,문제가 되다",동사
23676,maximize,최대화하다,동사
23677,meandering,구불구불한,형용사
23678,meaningful,의미심장한,형용사
23679,meaningless,무의미한,형용사
23680,means,"수단,방법",명사
23681,measurable,중요한,형용사
23682,measurable,"측정할 수 있는,적당한",형용사
23683,mechanical,기계로 작동되는,형용사
23684,mechanical,"기계적인,자동적인",형용사
23685,median,"중간의,중앙의",형용사
23686,medical,의학의,형용사
23687,meditate,명상하다,동사
23688,meditate,숙고하다,동사
23689,meditate,계획하다,동사
23690,melt,녹다,동사
23691,memorable,"기억할 만한,인상적인",형용사
23692,memorial,기념비,명사
23693,memorial,"추도의,기념하기 위한",형용사
23694,mend,고치다,동사
23695,merely,"단지,고작",부사
23696,mermaid,인어,명사
23697,merry,즐거운,형용사
23698,metabolism,신진대사,명사
23699,metaphor,은유,명사
23700,methane,메탄(가스),명사
23701,microbe,미생물,명사
23702,microorganism,미생물,명사
23703,microscope,현미경,명사
23704,microscopic,미세한,형용사
23705,middle-class,"중산층의,중산 계급의",형용사
23706,midnight,한밤중,명사
23707,migration,이주,명사
23708,mimic,흉내 내는,형용사
23709,mindful,유념하는,형용사
23710,mindless,"아무 생각이 없는,머리를 쓸 필요가 없는",형용사
23711,mindset,사고방식,명사
23712,minimize,최소로 하다,동사
23713,mining,광업,명사
23714,minister,"목사,성직자",명사
23715,minister,"장관,대신",명사
23716,miraculous,기적적인,형용사
23717,miraculously,기적적으로,부사
23718,misconception,오해,명사
23719,miserable,비참한,형용사
23720,misinterpretation,"오해,오역",명사
23721,misleading,오해의 소지가 있는,형용사
23722,misrepresent,잘못 전하다,동사
23723,miss out on,놓치다,숙어/관용어
23724,mistake A for B,A를 B로 오해하다,숙어/관용어
23725,mistreat,학대하다,동사
23726,mistreatment,학대,명사
23727,misuse,"오용,남용",명사
23728,misuse,학대하다,동사
23729,mobility,운동성,명사
23730,mobility,이동성,명사
23731,modern,현대의,형용사
23732,modernization,현대화,명사
23733,modification,변경,명사
23734,modification,개조,명사
23735,moisten,"촉촉하게 하다,축이다",동사
23736,mold,주조틀,명사
23737,mold,만들다,동사
23738,mold,곰팡이,명사
23739,mold,"틀,거푸집",명사
23740,momentum,"(물리) 가속도,탄력",명사
23741,monitor,감시하다,동사
23742,monitor,"화면,모니터",명사
23743,monoculture,단일 재배,명사
23744,monotonous,단조로운,형용사
23745,monumental,기념비적인,형용사
23746,monumental,"터무니없는,어처구니없는",형용사
23747,morale,사기,명사
23748,more often than not,"대개,자주",숙어/관용어
23749,mosaic,모자이크,명사
23750,motivation,동기,명사
23751,mound,둔덕,명사
23752,mount,(산에) 오르다,동사
23753,mount,서서히 증가하다,동사
23754,mount,올라타다,동사
23755,mount,"(수량/정도가) 높아지다,늘다",동사
23756,move forward,"전진하다,앞으로 나아가다",동사
23757,move to,~로 이사하다,숙어/관용어
23758,mucus,"점액,진",명사
23759,mulberry,뽕나무,명사
23760,multicultural,다문화의,형용사
23761,multiplication,"증식,증대",명사
23762,mumble,중얼거리다,동사
23763,mural,벽화,명사
23764,musicianship,음악적 기교,명사
23765,mussel,홍합,명사
23766,mustard,겨자,명사
23767,mutation,"돌연변이,변화",명사
23768,mycelium,균사체,명사
23769,mythological,신화의,형용사
23770,narrow down,(범위 등을) 좁히다,숙어/관용어
23771,native to,~에 고유한,형용사
23772,naturalist,자연주의자,명사
23773,naturalist,동식물 연구가,명사
23774,naturally,"자연히,본래",부사
23775,necessitate,필요로 하다,동사
23776,needless,불필요한,형용사
23777,needless to say,말할 필요도 없이,숙어/관용어
23778,needy,궁핍한,형용사
23779,negotiation,협상,명사
23780,neighboring,이웃의,형용사
23781,neither A nor B,A도 B도 아니다,숙어/관용어
23782,neural,신경의,형용사
23783,neuron,신경 세포,명사
23784,neuroscience,신경과학,명사
23785,newborn,갓 태어난,형용사
23786,next to nothing,아주 약간,숙어/관용어
23787,no matter what,무엇을 ~하든,숙어/관용어
23788,no wonder,당연히 ~이다,숙어/관용어
23789,nod off,깜빡 졸다,숙어/관용어
23790,non-violent,"비폭력의,비폭력적인",형용사
23791,nonprofit,비영리의,형용사
23792,not anymore,더 이상 ~ 아니다,숙어/관용어
23793,not only A but also B,A뿐만 아니라 B도,숙어/관용어
23794,not only A but also B,A뿐만 아니라 B도,숙어/관용어
23795,notable,주목할 만한,형용사
23796,nothing more than,"단지,~에 지나지 않은",숙어/관용어
23797,notice board,게시판,명사
