id,WordText,WordMeaning,PoSText
20652,faculty,학부,명사
20653,faculty,교수진,명사
20654,faculty,"재능,능력",명사
20655,fade,희미해지다,동사
20656,fade,(기력이) 쇠퇴하다,동사
20657,false,잘못된,형용사
20658,false,"거짓인,사실이 아닌",형용사
20659,fame,명성,명사
20660,famous,유명한,형용사
20661,fare,요금,명사
20662,fare,"살아가다,지내다",동사
20663,fare,"(특정한 상황,일이)~하게 되어가다",동사
20664,fasten,"묶다,붙들어 매다",동사
20665,fatal,치명적인,형용사
20666,fatal,"운명의,결정적인",형용사
20667,fate,운명,명사
20668,federal,연방제의,형용사
20669,ferry,여객선,명사
20670,ferry,선착장,명사
20671,ferry,운반하다,동사
20672,fertile,비옥한,형용사
20673,fertile,(창의력 등이) 풍부한,형용사
20674,fiber,섬유(질),명사
20675,fiction,소설,명사
20676,fiction,허구,명사
20677,fierce,사나운,형용사
20678,fierce,격렬한,형용사
20679,finite,한정되어 있는,형용사
20680,flavor,(독특한) 맛,명사
20681,flavor,"~로 풍미를 더하다,~에 맛을 내다",동사
20682,flavor,"풍미,(독특한) 맛",명사
20683,flaw,(도자기/보석의) 흠,명사
20684,flaw,(사람의) 결점,명사
20685,flaw,(사물의) 결함,명사
20686,flee,달아나다,동사
20687,flesh,살,명사
20688,flexible,잘 구부러지는,형용사
20689,flexible,융통성이 있는,형용사
20690,flip,가볍게 던지다,동사
20691,flip,재빨리 넘겨 봄,명사
20692,flip,(버튼 등을) 누르다,동사
20693,flip,"공중제비,재주넘기",명사
20694,flip,(손가락으로) 튀기다,동사
20695,flip,뒤집다,동사
20696,flock,무리,명사
20697,flock,모이다,동사
20698,flourish,"번성하다,번영하다",동사
20699,flush,(변기의) 물을 내리다,동사
20700,fond,좋아하는,형용사
20701,forbid,금지하다,동사
20702,forecast,"예상하다,예측하다",동사
20703,forehead,이마,명사
20704,forehead,앞부분,명사
20705,format,체재,명사
20706,format,형식,명사
20707,former,전자,명사
20708,former,과거의,형용사
20709,formula,공식,명사
20710,formula,(약품/식품의) 제조법,명사
20711,formula,제조법,명사
20712,foster,(위탁) 양육하다,동사
20713,foster,촉진시키다,동사
20714,fountain,분수,명사
20715,fraction,파편,명사
20716,framework,"하부구조,뼈대",명사
20717,framework,"체계,체제,틀",명사
20718,frequent,빈번한,형용사
20719,frequent,단골의,형용사
20720,frequent,자주 다니다,동사
20721,frost,서리,명사
20722,frown,눈살을 찌푸리다,동사
20723,fuel,연료,명사
20724,fuel,부추기다,동사
20725,fundamental,근본적인,형용사
20726,fundamental,필수적인,형용사
20727,funeral,장례식,명사
20728,furious,성난,형용사
20729,furnish,(가구를) 비치하다,동사
20730,furthermore,게다가,부사
20731,fury,"격분,분노",명사
20732,fuse,융합하다,동사
20733,fuse,녹이다,동사
20734,gallery,"미술관,화랑",명사
20735,gamble,도박을 하다,동사
20736,gap,격차,명사
20737,gasoline,휘발유,명사
20738,gaze,응시하다,동사
20739,gender,성별,명사
20740,gene,유전자,명사
20741,generate,"만들어내다,발생시키다",동사
20742,generation,세대,명사
20743,generous,후한,형용사
20744,generous,관대한,형용사
20745,genetic,유전(학)의,형용사
20746,genius,천재(성),명사
20747,genuine,진짜의,형용사
20748,genuine,진실한,형용사
20749,geography,지리학,명사
20750,geography,지형,명사
20751,geology,지질학,명사
20752,geology,지질학,명사
20753,glare,노려보다,동사
20754,glare,"(불쾌하게) 환하다,눈부시다",동사
20755,global,세계적인,형용사
20756,global,지구의,형용사
20757,globe,지구(본),명사
20758,globe,세계,명사
20759,glow,빛나다,동사
20760,glow,불빛,명사
20761,glow,(얼굴이) 상기되다,동사
20762,goat,염소,명사
20763,graduate,졸업하다,동사
20764,graduate,졸업생,명사
20765,grain,곡식,명사
20766,grain,입자,명사
20767,grasp,붙잡다,동사
20768,grasp,파악하다,동사
20769,grateful,감사하는,형용사
20770,grave,"무덤,묘",명사
20771,grave,중대한,형용사
20772,greed,욕심,명사
20773,grief,큰 슬픔,명사
20774,grip,꽉 잡다,동사
20775,guardian,"수호자,후견인",명사
20776,guideline,지침,명사
20777,gulf,만,명사
20778,gymnasium,체육관,명사
20779,habitat,서식지,명사
20780,halt,"정지,휴지",명사
20781,halt,"멈추다,중단시키다",동사
20782,hammer,망치,명사
20783,hammer,"망치로 치다,탕탕 두들기다",동사
20784,handicap,장애,명사
20785,handicap,불리하게 만들다,동사
20786,harbor,항구,명사
20787,harbor,숨겨주다,동사
20788,harmonious,조화로운,형용사
20789,harmony,"조화,화합",명사
20790,harsh,"가혹한,혹독한",형용사
20791,harsh,황량한,형용사
20792,harvest,수확,명사
20793,harvest,수확하다,동사
20794,haunt,자주 가는 곳,명사
20795,haunt,유령이 나타나다,동사
20796,hazard,위험 요소,명사
20797,headache,두통,명사
20798,headquarters,본사,명사
20799,heal,낫게 하다,동사
20800,heel,발뒤꿈치,명사
20801,heir,상속인,명사
20802,hence,그러므로,대명사
20803,heritage,(상속/세습) 재산,명사
20804,heritage,(국가/사회적) 유산,명사
20805,hierarchy,"계급,조직",명사
20806,highlight,"중요 부분,압권",명사
20807,highlight,강조하다,동사
20808,highlight,형광펜으로 표시하다,동사
20809,holy,신성한,형용사
20810,hook,갈고리,명사
20811,hook,걸다,동사
20812,horizon,수평선,명사
20813,horror,공포,명사
20814,host,주최하다,동사
20815,host,진행자,명사
20816,host,"(파티 등에서)주인 노릇을 하다,(주인으로서) 접대하다",동사
20817,hostile,적대적인,형용사
20818,hostile,반대하는,형용사
20819,hostile,(기후/환경이) 부적당한,형용사
20820,household,"가족,가정",명사
20821,hut,오두막집,명사
20822,hypothesis,가설,명사
20823,ideal,이상적인,형용사
20824,ideal,이상,명사
20825,identical,동일한,형용사
20826,identical,(쌍둥이가) 일란성의,형용사
20827,ideology,이데올로기,명사
20828,illusion,환상,명사
20829,illusion,"착각,오해",명사
20830,imitate,흉내 내다,동사
20831,imitate,"따르다,모방하다",동사
20832,immense,막대한,형용사
20833,immigrate,이주하다,동사
20834,immune,면역성의,형용사
20835,immune,(책임/처벌 등이) 면제된,형용사
20836,impact,(강력한) 영향,명사
20837,impact,영향을 주다,동사
20838,imperial,제국의,형용사
20839,imperial,최고 권위의,형용사
20840,implement,도구,명사
20841,implement,"실시하다,실행하다",동사
20842,imply,"함축하다,포함하다",동사
20843,imply,암시하다,동사
20844,imply,"시사하다,나타내다",동사
20845,import,수입(품),명사
20846,import,수입하다,동사
20847,importance,중요성,명사
20848,important,중요한,형용사
20849,impose,부과하다,동사
20850,impose,강요하다,동사
20851,impose,폐를 끼치다,동사
20852,incentive,유인책,명사
20853,incentive,장려금,명사
20854,incident,사건,명사
20855,incline,마음이 기울다,동사
20856,incorporate,법인 회사로 만들다,동사
20857,incorporate,포함하다,동사
20858,incredible,"놀라운,믿어지지 않는",형용사
