example_english,example_korean
The channel is very narrow between two islands.,그 해협은 아주 좁아요 두 섬 사이에 있어요.
I use this channel to show my feelings.,나는 이 수단을 사용하여 내 감정을 보여요.
Little dogs chase playful cats every sunny day.,작은 강아지들이 맑은 날에 장난꾸러기 고양이를 쫓아요.
She will chase her happy dreams every day.,그녀는 행복한 꿈을 매일 추구해요.
"Every morning, my teacher gently touches my cheek.",매일 아침에 선생님이 제 뺨을 부드럽게 만져요.
The teacher will cheer you to get stronger.,선생님은 당신이 더 강해지도록 힘을 복돋워 줄 거예요.
Our fans cheer for our team on weekends.,우리 팬들이 주말에 우리 팀을 응원해요.
Our excited fans' cheer was very loud today.,우리 열광하는 팬들의 환호가 아주 크게 들렸어요.
The puppy loves to chew his crunchy bone.,강아지는 바삭한 뼈를 씹는 것을 좋아해요.
The computer chip is in the new phone.,컴퓨터 칩은 새 핸드폰 안에 있어요.
I share a chip with my friend today.,오늘 친구와 얇게 썬 과자를 나눠 먹어요.
My friend happily made a perfect choice today.,내 친구는 기쁘게 완벽한 선택을 했어요.
I often go to the cinema on Saturday.,나는 토요일에 자주 영화관에 가요.
Every smart citizen always obeys the local rules.,모든 똑똑한 시민은 항상 지역 규칙을 지켜요.
Please click the red button to open it.,빨간 버튼을 클릭해서 열어요.
I hear a click from the computer mouse.,나는 컴퓨터 마우스에서 딸깍 소리를 들어요.
The cliff beside the sea is very dangerous.,바다 옆 절벽은 매우 위험해요.
The detective found one useful clue this morning.,탐정은 오늘 아침 유용한 실마리를 찾았어요.
I found a small clue in the room.,나는 방에서 작은 단서를 찾았어요.
The old coach moves slowly on quiet roads.,오래된 사륜마차가 조용한 도로를 천천히 움직여요.
The coach always helps his team perform well.,코치가 그의 팀이 잘 할 수 있도록 항상 도와요.
Coal heats our houses on cold winter days.,석탄은 우리의 집을 추운 겨울에 데워요.
They happily strolled along the beautiful coast today.,그들은 아름다운 해안을 따라 기쁘게 걸었어요.
Our society always follows the strict code orders.,우리 사회는 항상 엄격한 법규를 따르고 있어요.
Tom uses a code to hide secret notes.,톰은 암호로 비밀 쪽지를 숨겨요.
Many people respect our community code every day.,많은 사람들이 우리 공동체 규범을 매일 존중해요.
The funny comedy play always makes me smile.,재미있는 희극 연극이 항상 나를 웃게 해요.
The teacher always commands students to sit quietly.,선생님은 항상 학생들에게 조용히 앉으라고 명령해요.
He shows great command in his English class.,그는 영어 수업에서 뛰어난 구사력이 있어요.
The officer gave a clear command to everyone.,경찰관이 모두에게 명령을 내렸어요.
The captain gave a clear command to everyone.,함장이 모두에게 명확한 지휘를 내렸어요.
He clearly shows a strong command of English.,그는 영어 구사력이 아주 좋아요.
The teacher will comment on your math homework.,선생님이 너의 수학 숙제에 논평할 거예요.
She wrote a kind comment about our homework.,그녀는 우리 숙제에 대해 친절한 논평을 했어요.
I wrote a long comment on the paper.,나는 종이에 긴 의견을 썼어요.
I made a kind comment during our class.,나는 우리 수업 중에 친절하게 언급했어요.
They often use computers to communicate with friends.,그들은 자주 컴퓨터로 의사 소통해요.
Please clearly communicate your ideas to your teacher.,선생님께 너의 생각을 꼭 전달해 주세요.
I always communicate with my teacher on Monday.,나는 항상 월요일에 선생님과 연락해요.
My friend often does not complain about homework.,내 친구는 숙제에 대해 자주 불평하지 않아요.
All of my homework assignments are complete now.,모든 숙제는 이제 완전해요.
Our school concert was very fun for all.,우리 학교 콘서트가 모두에게 아주 재미있었어요.
They work in concert to win the match.,그들은 경기 이기려고 협력해요.
The school concert this evening was really fun.,오늘 저녁 학교 연주회는 정말 즐거웠어요.
The school contest is a fun event today.,학교 경연대회는 오늘 즐거운 행사예요.
My friend entered a big fun contest today.,내 친구가 큰 재미있는 경연대회에 참가했어요~요.
I carefully copy my homework from my friend.,나는 친구의 숙제를 조심스럽게 베껴요~요.
I carefully copy my friend's drawing every day.,저는 매일 친구의 그림을 따라해요.
My teacher kindly gave me a copy today.,선생님이 오늘 친절하게 복사본을 주셨어요.
He will correct his wrong answers in class.,그는 교실에서 틀린 답을 고칠 거예요.
The answer is correct indeed and very easy.,이 답은 올바르고 아주 쉬워요.
We stayed at a cozy cottage last weekend.,우리는 지난 주말에 아늑한 오두막집에 머물렀어요.
This cotton ball looks soft and light today.,이 솜 공은 부드럽고 가볍게 보여요.
Today my shirt is made from pure cotton.,오늘 내 셔츠는 순면으로 만들어졌어요.
I cough because my throat hurts a lot.,내 목이 많이 아파서 기침해요.
The patient suffers from a severe cough daily.,환자는 매일 심한 기침을 해요.
I count my coins every day at home.,저는 집에서 매일 동전들을 세어요.
Your warm smile always counts in our world.,따뜻한 미소는 우리 세계에서 항상 중요해요.
My count of red apples is five now.,내 빨간 사과의 총계는 지금 다섯 개예요.
I always create a drawing with my hands.,나는 항상 내 손으로 그림을 창조해요.
I create beautiful art for my lovely class.,나는 내 사랑스러운 반을 위해 아름다운 미술을 만들어요.
Police always work hard to stop every crime.,경찰은 항상 열심히 모든 범죄를 막아요.
The criminal escaped but police soon caught him.,범죄자가 도망쳤지만 경찰이 곧 그를 잡았어요.
The kind doctor can cure our sick dog.,친절한 의사는 우리 아픈 개를 치료할 수 있어요.
This cure helps many people to get better.,이 치료법은 많은 사람들이 회복하는데 도움을 줘요.
The curious cat always finds unexpected new things.,호기심 많은 고양이는 언제나 예상치 못한 새로운 것들을 찾아요.
My small kitten is very cute and playful.,내 작은 새끼 고양이는 아주 귀여워요.
I decorate my small room with nice colors.,저는 작은 방을 예쁜 색깔로 꾸며요.
My teacher will decorate me with a medal.,제 선생님께서 저에게 메달을 수여해요.
An angle in a circle is 360 degree.,원의 각은 360도가 이에요.
Today the thermometer shows exactly thirty degree outside.,오늘 온도계가 정확히 30도를 보여요.
There is a very low degree of risk.,위험의 정도가 매우 낮아요.
My friend earned a degree at top college.,내 친구는 최고 대학에서 학위를 받았어요.
Your final score is measured in degree levels.,당신의 최종 점수는 등급으로 측정되었어요.
The dentist kindly fixes my teeth every morning.,치과의사는 매일 제 이를 친절하게 고쳐줘요.
