example_english,example_korean
I always say hello when I read signs.,나는 항상 표지판을 읽을 때 인사해요.
My friend will say a kind word today.,내 친구가 오늘 친절한 말을 할 거예요.
Every student has a say in class decisions.,모든 학생은 수업 결정에 발언권이 있어요.
I always say hello to my kind teacher.,나는 항상 친절한 선생님에게 안부를 전해요.
She will quickly scan her homework paper today.,그녀는 오늘 숙제지를 빠르게 훑어볼 거예요.
I quickly scan the room for my friend.,나는 친구를 위해 방을 빠르게 훑어봐요.
My sister got a scan on Monday morning.,제 여동생은 월요일 아침에 정밀 검사를 받으셨어요.
The little cat looks really scared every night.,작은 고양이는 매일 밤 정말 무서워 보여요.
The scary ghost suddenly came near our house.,무서운 유령이 갑자기 우리 집에 왔어요.
The beautiful scenery calms me every single day.,아름다운 풍경은 매일 나를 차분하게 해요.
The scholar read many books in the library.,학자는 도서관에서 많은 책을 읽어요.
A school of fish swims near the coral.,물고기 떼가 산호 근처에서 헤엄쳐요.
My school is near my bright red bus.,내 학교는 밝은 빨간 버스 옆에 있어요.
The impressionist school created a bold art style.,인상파는 대담한 예술 스타일을 만들었어요.
Science makes us curious about the natural world.,과학은 우리를 자연에 대해 궁금하게 해요.
The scientist studies plants and stars each day.,과학자는 매일 식물과 별을 연구해요.
I play the score on a small piano.,나는 작은 피아노로 악보를 연주해요.
Our star player can score a goal easily.,우리의 스타 선수는 쉽게 골을 넣을 수 있어요.
The movie will screen in our school today.,영화는 오늘 우리 학교에서 상영될 거예요.
The art expert will screen every art project.,미술 전문가는 모든 미술 작품을 심사할 거예요.
I watch a movie on the big screen.,나는 큰 스크린에서 영화를 봐요.
The large screen shows fun cartoons every morning.,큰 화면이 매일 아침 재미있는 만화를 보여요.
The actor reads a very good script today.,배우가 오늘 아주 좋은 대본을 읽어요.
My friend's script is very clear and neat.,내 친구의 글씨는 아주 명확하고 깔끔해요.
The museum proudly displays a big beautiful sculpture.,미술관은 자랑스럽게 큰 아름다운 조각품을 전시해요.
My family visits the calm sea every day.,우리 가족은 고요한 바다를 매일 방문해요.
The boat gently floats near the sea level.,보트가 해수면 위에서 부드럽게 떠있어요.
A sea otter swims in the cool ocean.,해달은 시원한 바다에서 수영해요.
My mom cooks fresh seafood for our dinner.,우리 엄마가 신선한 해산물을 저녁에 요리해요.
The small seagull flies over the blue ocean.,작은 바다갈매기가 푸른 바다 위를 날아요.
I search for my lost shoes every day.,나는 잃어버린 신발을 매일 찾아요.
We went to the seaside with our friends.,우리는 친구들과 해안에 갔어요.
My mom will carefully season the yummy soup.,우리 엄마는 조심스럽게 맛있는 국에 양념할 거예요.
Winter is the coldest season of the year.,겨울은 한 해 중 가장 추운 계절이에요.
I see green seaweed near the small bay.,저는 작은 만 근처에서 초록 해초를 봐요.
I waited one second before I entered room.,내가 방에 들어가기 전에 1초 기다렸어요~요.
My dad earns money with a second job.,아빠는 부업으로 돈을 벌어요.
My secondary lesson always helps me learn English.,나의 2차적인 수업은 항상 제가 영어를 배우게 도와줘요.
Her gentle secondary smile conveyed an indirect message.,그녀의 부드러운 간접적인 미소가 간접적인 메시지를 전달했어요.
I heard secondhand news from my kind friend.,나는 친절한 친구에게 간접의 소식을 들었어요.
I bought a car secondhand from my friend.,나는 친구로부터 중고로 차를 샀어요.
My best friend keeps a secret for me.,내 가장 친한 친구가 나를 위한 비밀을 지켜요.
She kept the secret of her bright smile.,그녀는 밝은 미소의 비결을 지켰어요.
I see a cute bird on the tree.,나는 정말 나무 위에서 귀여운 파란 새를 봐요.
I see your idea and know its meaning.,나는 네 아이디어를 이해하고 뜻을 알아요.
I see many new things in my class.,나는 수업에서 많은 새로운 경험을 해봐요.
She made a careful selection for the game.,그녀는 게임을 위해 신중한 선택을 했어요.
I always make a self-portrait in art class.,나는 항상 미술 수업에서 자화상을 그려요.
I took a funny selfie with my friend.,친구와 함께 재미있는 셀피를 찍었어요.
We sell fresh apples at the corner shop.,우리는 구석 가게에서 신선한 사과를 팔아요.
The friendly seller sells apples at the fair.,친절한 파는 사람이 장터에서 사과를 팔아요.
My team reached the semifinal match last night.,우리 팀은 어젯밤 준결승 경기에 도달했어요.
I will send you a nice gift today.,나는 오늘 너에게 멋진 선물을 보낼 거예요.
Please kindly send back my blue pencil case.,제 파란 연필 케이스를 친절히 돌려주세요.
Please send in your math homework by today.,수학 숙제를 오늘 꼭 제출해요.
She is a very sensitive person who cares.,그녀는 항상 아주 예민한 사람으로 남을 잘 생각해요.
The sensitive artist always feels beauty in art.,감성적인 예술가는 언제나 예술에서 아름다움을 느껴요.
A sensor quickly detects movement in each room.,감지기는 각 방에서 움직임을 빠르게 감지해요.
The separation of close friends is very sad.,친한 친구들의 이별은 아주 슬퍼요.
Separation of good friends makes hearts feel lonely.,친구들의 이별은 마음을 외롭게 만들어요.
My new school starts in September every year.,나의 새로운 학교는 9월에 매년 시작해요.
She always works seriously hard on the projects.,그녀는 항상 프로젝트에서 진지하게 열심히 일해요.
The kind servant cleans our house every morning.,친절한 하인이 우리 집을 매일 아침 청소해요.
The server quickly brings food to our table.,웨이터가 우리 테이블에 음식을 빨리 가져다 줘요.
Our school service brings smiles to many people.,우리 학교 봉사는 많은 사람에게 웃음을 가져다줘요.
I carefully set the table for our dinner.,나는 저녁 식사를 위해 테이블을 조심히 놓았어요.
The shiny sun sets slowly over the trees.,빛나는 해가 천천히 나무 위로 지어요.
I set my alarm clock early for school.,나는 학교를 위해 알람 시계를 미리 설정해요.
I set a clear goal for learning English.,나는 영어 공부를 위한 명확한 목표를 세워요.
I set my clock for eight o'clock today.,저는 시계를 오늘 여덟 시로 맞추어요.
I bought a new set of toy blocks.,나는 새로운 장난감 블록 세트를 샀어요.
The museum is set in the quiet town.,박물관은 조용한 도시에 위치해 있어요.
My team is set for the big game.,내 팀은 큰 경기를 위해 준비됐어요.
I always set an alarm before school starts.,나는 학교가 시작되기 전에 항상 알람을 맞추어요.
They set foot on our new playground today.,그들은 오늘 우리의 새 놀이터에 발을 들여놓았어요.
The kind zookeeper set free the wild deer.,친절한 사육사가 야생 사슴을 풀어 주었어요.
We always set the table for lunch everyday.,우리는 매일 점심을 위해 식탁을 차려요.
They set up a new art club today.,그들은 오늘 새로운 미술 동아리를 설립했어요.
I set up my tent in the park.,나는 공원에서 텐트를 세워요.
We set up a fun party at school.,우리는 학교에서 즐거운 파티를 마련했어요.
The sudden accident set him up for trouble.,갑작스런 사고가 그를 곤란한 상황에 처하게 했어요.
Engineers set up  a new machine at work.,기술자들이 새로운 기계를 직장에서 만들어요.
They set up a fun meeting for us.,그들은 우리를 위해 재미있는 약속을 정했어요.
I set up my computer at home today.,저는 집에서 오늘 컴퓨터를 설정해요.
We set up a new art club today.,우리는 오늘 새로운 미술 동아리를 시작해요.
We need a good setting for our lunch.,점심을 위한 좋은 준비가 필요해요.
The theater show has an impressive stage setting.,극장 쇼는 인상적인 무대가 있어요.
This quiet park has a beautiful natural setting.,이 조용한 공원은 아름다운 자연 환경이에요.
The new setting button is near the display.,새로운 설정 버튼은 화면 근처에 있어요.
I will settle in at my new home.,나는 새 집에 적응할 거예요.
I will settle in at my new house.,나는 새 집에 정착할 거예요.
My mother always uses her sewing machine daily.,우리 어머니는 항상 재봉틀을 사용해요.
I always use shampoo before drying my hair.,저는 머리를 말리기 전에 항상 샴푸를 사용해요.
The cookie is well shaped like a star.,쿠키가 별 모양으로 잘 지어졌어요.
A shard of glass lay on the floor.,유리 파편이 바닥에 놓여 있어요.
The big shark swims in the blue ocean.,큰 상어가 파란 바다에서 헤엄쳐요.
She always loves to play in the park.,그녀는 항상 공원에서 놀아요.
I always read the sheet music in class.,저는 항상 교실에서 악보를 읽어요.
The shining diamond always glitters in the sun.,빛나는 다이아몬드는 항상 해 아래에서 반짝여요.
The shiny car sparkles under the bright sun.,빛나는 차가 밝은 햇빛 아래 반짝거려요.
We always ship parcels to many different countries.,우리는 항상 소포를 많은 다른 나라로 수송해요.
The big ship sails on the wide ocean.,큰 배가 넓은 바다를 항해해요.
He always wears a white shirt at school.,그는 항상 학교에서 흰 와이셔츠를 입어요.
I was really shocked by that loud noise.,나는 그 큰 소리에 정말 충격 받았어요.
We saw a shocking storm near our school.,우리 학교 근처에 충격적인 폭풍이 보였어요.
I always wear a red shoe every morning.,나는 항상 빨간 신발을 매일 아침 신어요.
I often wear blue shoes on school days.,나는 종종 학교 날에 파란 신발을 신어요.
I saw a beautiful shooting star last night.,어젯밤에 예쁜 유성을 봤어요.
My mom loves to shop for fresh groceries.,우리 엄마는 신선한 식료품을 쇼핑해요.
I shop happily with my mom after school.,나는 엄마와 함께 매일 방과 후에 물건을 사요.
I always like to visit the lovely shop.,저는 항상 사랑스러운 가게를 방문해요.
Every careful shopper likes to buy fresh fruit.,모든 신중한 쇼핑객은 신선한 과일을 사요.
We enjoy shopping at our friendly local mall.,우리는 친근한 동네 쇼핑몰에서 쇼핑해요.
