id,WordText,WordMeaning,PoSText
22652,depending upon,~에 따라,숙어/관용어
22653,depression,우울(증),명사
22654,depression,"불경기,불황",명사
22655,depth,깊이,명사
22656,desalination,담수화,명사
22657,descendant,"후예,자손",명사
22658,descent,하강,명사
22659,descent,"혈통,가문",명사
22660,describe,묘사하다,동사
22661,deserted,사람이 살지 않는,형용사
22662,desperately,간절하게,부사
22663,destined,운명 지어진,형용사
22664,destructive,파괴적인,형용사
22665,destructive,해로운,형용사
22666,detailed,세부적인,형용사
22667,detect,"찾아내다,간파하다",동사
22668,detect,감지하다,동사
22669,detection,"감지,탐지",명사
22670,determination,결심,명사
22671,determination,"투지,결의",명사
22672,determined,결연한,형용사
22673,development,발달,명사
22674,development,개발,명사
22675,development,"(주택) 단지,지구",명사
22676,devote A to B ing,A를 B하는데 바치다,숙어/관용어
22677,devotion,"헌신,강한 애착",명사
22678,diabetic,당뇨병이 있는,형용사
22679,diagnosis,진단,명사
22680,diagonally,대각선으로,부사
22681,diagram,"그림,도표",명사
22682,diameter,지름,명사
22683,diarrhea,설사,명사
22684,die down,"가라앉다,사라지다",숙어/관용어
22685,diesel,디젤,명사
22686,dietary,식이요법의,형용사
22687,differ from,~와 다르다,숙어/관용어
22688,difference engine,"차분 기관,미분기",명사
22689,differentiate,구별하다,동사
22690,dig for,~을 찾아 땅을 파다,숙어/관용어
22691,dig out,~을 파내다,숙어/관용어
22692,digestion,소화(작용),명사
22693,digestive,소화를 돕는,형용사
22694,digestive,소화의,형용사
22695,diminishment,감소,명사
22696,diplomacy,외교(술),명사
22697,diplomatic,외교의,형용사
22698,disability,(신체적) 장애,명사
22699,disable,망가뜨리다,동사
22700,disadvantaged,빈곤한,형용사
22701,disadvantaged,혜택받지 못한,형용사
22702,disappear,사라지다,동사
22703,disapproval,반대,명사
22704,disassemble,분해하다,동사
22705,disaster-stricken,"재앙이 닥친,재해를 입은",형용사
22706,disastrous,처참한,형용사
22707,disastrous,"피해가 막심한,불행한",형용사
22708,disbelief,불신감,명사
22709,discard,버리다,동사
22710,disclose,"드러내다,폭로하다",동사
22711,discomfort,불편,명사
22712,discouraged,의욕을 상실한,형용사
22713,discovery,"발견,발견물",명사
22714,discredit,신임을 떨어뜨리다,동사
22715,discrimination,차별,명사
22716,disgrace,"창피,불명예",명사
22717,disguise,"가장하다,숨기다",동사
22718,dishonest,정직하지 못한,형용사
22719,dislike,싫어하다,동사
22720,dismal,음울한,형용사
22721,dismal,"질이 낮은,형편없는",형용사
22722,displaced,"난민의,난민",형용사
22723,disposable,일회용의,형용사
22724,disposal,"처리,처분",명사
22725,dispossessed,재산을 빼앗긴,형용사
22726,disrespectful,경멸하는,형용사
22727,disrespectful,실례되는,형용사
22728,dissolved,용해된,형용사
22729,dissonance,"불협화음,불화",명사
22730,distant,먼,형용사
22731,distillation,증류,명사
22732,distinction,구별,명사
22733,distorted,왜곡된,형용사
22734,distracted,산만한,형용사
22735,distribution,"분배,배급",명사
22736,distributor,유통회사,명사
22737,disused,사용되지 않는,형용사
22738,diversity,다양성,명사
22739,diversity,"차이점,불일치",명사
22740,divert,방향을 바꾸다,동사
22741,divide A into B,A를 B로 나누다,숙어/관용어
22742,division,"분배,분할",명사
22743,division,부서,명사
22744,do ~ harm,~에게 해를 끼치다,숙어/관용어
22745,do not mind ~ing,~하기를 마다하지 않다,숙어/관용어
22746,do one's best,최선을 다하다,숙어/관용어
22747,do wonders,기적을 이루다,숙어/관용어
22748,dock,부두,명사
22749,dock,(임금을) 삭감하다,동사
22750,documentary,문서의,형용사
22751,documentary,다큐멘터리,명사
22752,doer,"행동가,실천가",명사
22753,domesticate,"(동물을) 길들이다,사육하다",동사
22754,domination,"지배,통치",명사
22755,donation,기부(금),명사
22756,donor,기증자,명사
22757,doorway,출입구,명사
22758,dormitory,기숙사,명사
22759,double-edged,양날인,형용사
22760,doubtful,확신이 없는,형용사
22761,doubtful,의심스러운,형용사
22762,dough,밀가루 반죽,명사
22763,down the road,"장래에,미래에",숙어/관용어
