example_english,example_korean
My friend felt strong anxiety at school today.,친구는 오늘 학교에서 큰 걱정을 느꼈어요.
She always has anxiety to travel the world.,그녀는 항상 세계 여행을 열망해요.
I feel anxiety when I face new things.,나는 새로운 것을 마주할 때 불안을 느껴요.
She really did not enjoy any chocolate cake.,그녀는 정말 전혀 초콜릿 케이크를 즐기지 않았어요.
Please choose any flavor from the ice cream.,아이스크림에서 아무 맛이나 골라 보세요.
I do not call you anymore at night.,나는 더 이상 밤에 전화를 하지 않아요.
Can anyone please give me the answer now?,누군가 제게 지금 답을 알려줘요.
I did not find anything in my bag.,내 가방에서 아무것도 찾지 못했어요.
You may call anytime if you need help.,도움이 필요하면 언제든지 전화할 수 있어요.
I like ice cream anyway on hot days.,뜨거운 날씨에도 어쨌든 나는 아이스크림을 좋아해요.
I can always go anywhere in the world.,저는 항상 어디엔가 갈 수 있어요.
I can travel anywhere for fun and learning.,나는 즐거움과 배움을 위해 아무데도 여행할 수 있어요.
She can travel anywhere during her summer vacation.,그녀는 여름 방학 동안 어디든지 여행할 수 있어요.
I always apologize to my teacher after mistakes.,나는 실수 후에 항상 선생님께 사과해요.
I offer a quick apology to friends.,저는 친구들에게 빠른 사과를 해요.
I use an app to call my friends.,나는 친구에게 전화할 때 응용 프로그램을 사용해요.
The magician's sudden appearance amazed all the children.,마술사의 갑작스런 출현이 모든 아이들을 놀라게 했어요.
"Her appearance is neat, like a perfect drawing.","그녀의 겉모습은 깔끔해요, 완벽한 그림 같아요."
Her lovely appearance always makes everyone smile today.,그녀의 외모는 항상 모두를 미소짓게 해요.
The delicious appetizer was served before our dinner.,맛있는 전채 요리는 저녁 식사 전에 준비되었어요.
I always eat a juicy apple every morning.,나는 항상 아침마다 맛있는 사과를 먹어요.
I submitted an online application for a club.,나는 클럽에 온라인 지원서를 제출했어요.
Science shows application of math in our life.,과학은 우리 삶에 수학의 적용을 보여요.
I quickly sent my application to the school.,나는 학교에 지원서를 빨리 보냈어요.
My computer has a very useful application program.,내 컴퓨터에 아주 유용한 응용 프로그램이 있어요.
I have an appointment with my best friend.,내 가장 친한 친구와 약속이 있어요.
I always show appreciation for art in my class.,나는 항상 수업에서 예술을 감상해요.
He showed appreciation by smiling at his teacher.,그는 선생님께 미소로 감탄을 표현했어요.
I always show my appreciation for kind teachers.,저는 항상 친절한 선생님께 감사를 표해요.
House prices gradually show appreciation in our town.,집값은 우리 마을에서 점차 상승해요.
The smart architect builds a big new house.,똑똑한 건축가가 큰 새 집을 짓고 있어요.
Architecture builds our world with art and science.,건축은 예술과 과학으로 우리 세계를 세워요.
Our town has a unique architecture to admire.,우리 동네에는 독특한 건축물이 있어요.
This school area is very big and open.,이 학교 면적은 매우 크고 넓어요.
Science is the most important area for learning.,과학은 가장 중요한 분야예요.
The park area is very safe and clean.,공원 지역은 매우 안전하고 깨끗해요.
She hurt one small area on her arm.,그녀는 팔의 한 작은 부위를 다쳤어요.
The students had an argument about homework topics.,학생들이 숙제 주제에 대해 논쟁을 했어요.
My friend made a fair argument in class.,내 친구가 수업에서 공정한 주장을 했어요.
Sam and Lisa had a small argument today.,샘과 리사는 오늘 작은 말다툼을 했어요.
The army will arm the brave men today.,오늘 군대가 용감한 남자들을 무장시킬 거예요.
The soldier held the arm as a weapon.,군인이 그 무기를 무기로 들었어요.
My mom hugged me using her strong arm.,엄마가 저를 강한 팔로 안아주셨어요.
The children happily walked around the park today.,아이들이 기쁘게 공원 주위를 걸었어요.
There are around ten friendly students in class.,수업에 약 열 명의 친절한 학생들이 있어요.
The bus will arrive at our school today.,버스가 오늘 우리 학교에 도착해요.
Young boy shot an arrow at the target.,어린 소년이 화살을 목표에 쐈어요.
My art class is fun every single day.,내 예술 수업은 매일 재미있어요.
I really enjoy art in my school class.,저는 학교 수업 시간에 미술을 정말 즐겨요.
The artificial flowers always brighten our dull room.,인공 꽃들이 항상 우리 어두운 방을 밝게 해요.
The modern museum has artificial trees and plants.,현대 박물관에는 인공 나무와 식물이 있어요.
The talented artist paints a very bright picture.,재능있는 예술가가 아주 밝은 그림을 그려요.
The artistic little bird sang a beautiful song.,작은 예술적인 새가 아름다운 노래를 불렀어요.
The museum shows amazing artwork by local artists.,박물관에서 지역 예술가들의 멋진 예술 작품을 봐요.
My dog runs as fast as a cheetah.,내 개는 치타처럼 빠르게 달려요.
She cooks as her grandmother used to cook.,그녀는 할머니가 요리한 대로 요리해요.
I act as a leader in my class.,나는 우리 반에서 리더로서 행동해요.
She happily sings as she draws a picture.,그녀는 그림을 그릴 때 행복하게 노래해요.
"She worked, as a result, earned a reward.",그녀는 열심히 일해서 그 결과 상을 받았어요.
"I was tired; as a result, I slept.","저는 피곤했어요; 결과적으로, 저는 잠을 잤어요."
You can win as long as you try.,네가 노력하기만 한다면 이길 수 있어요.
You can play as long as you study.,공부하는 동안은 놀 수 있어요.
I like apples as well as red bananas.,나는 사과뿐만 아니라 빨간 바나나도 좋아해요.
The small fire made the wood into ash.,작은 불이 나무를 재로 만들었어요.
Children always ask their teacher for extra help.,아이들은 항상 선생님께 더 많은 도움을 물어봐요.
She will ask for help at her school.,그녀는 학교에서 도움을 요청할 거예요.
Tom will ask his friend out on Friday.,톰은 금요일에 친구에게 데이트를 신청할 거예요.
The brave astronaut rides the spaceship in space.,용감한 우주비행사는 우주에서 우주선을 타요.
A smart astronomer often looks at bright stars.,똑똑한 천문학자는 자주 밝은 별들을 봐요.
I quickly recognized the picture at a glance.,나는 한눈에 그 그림을 빠르게 알아봤어요.
You can read two books at a time.,너는 한번에 두 권의 책을 읽을 수 있어요.
The player waited at bat for his turn.,그 선수는 타석에 서서 기다렸어요.
"At first, he felt very tired during class.",처음에는 그는 수업 중에 매우 피곤했어요.
They feel very comfortable at home all week.,그들은 일주일 내내 집에서 아주 편안하게 지내요.
I finished homework at last after many delays.,저는 많은 지연 후 드디어 숙제를 끝냈어요.
The teacher quickly answered my question at once.,선생님이 제 질문에 즉시 대답하셨어요.
The kids played at once in the playground.,아이들이 놀이터에서 한꺼번에 놀고 있어요.
They all ate tasty candy at one time.,그들은 한꺼번에 맛있는 사탕을 먹었어요.
"At one time, we always played happily together.","한때, 우리는 항상 즐겁게 놀았어요."
My kind teacher taught me at that time.,나의 친절한 선생님이 저를 그때 가르쳤어요.
She sings and dances at the same time.,그녀는 동시에 노래하고 춤춰요.
The brave athlete trains hard in the gym.,용감한 운동선수는 체육관에서 열심히 훈련해요.
My brother has an athlete build for football.,내 동생은 축구에 몸이 탄탄한 체격을 가졌어요.
Our happy ship sailed across the Atlantic ocean.,우리의 행복한 배가 대서양을 건너갔어요.
The attractive puppy plays happily in the yard.,매력적인 강아지가 마당에서 행복하게 놀아요.
My kind aunt always cooks delicious food daily.,저의 친절한 숙모는 오늘 항상 맛있는 음식을 요리해요.
Jenny met an Australian student at school today.,제니는 오늘 학교에서 오스트레일리아인 학생을 만났어요.
The famous author writes simple stories for children.,유명한 저자가 어린이를 위한 간단한 이야기를 써요.
The door opens automatically when you push it.,문은 누르면 자동으로 열려요.
"In autumn, bright leaves fall slowly from trees.",가을에는 밝은 잎이 천천히 떨어져요.
The library books are available for all students.,도서관 책은 모든 학생이 이용할 수 있어요.
I am available this evening for a picnic.,저는 오늘 저녁에 피크닉을 하러 갈 여유가 있어요.
