id,WordText,WordMeaning,PoSText
24652,stimulating,"자극하는,활기를 주는",형용사
24653,stir up,문제를 일으키다,숙어/관용어
24654,store,"가게,상점",명사
24655,store,저장하다,동사
24656,straighten,"정돈하다,~을 똑바르게 하다",동사
24657,straighten,~을 똑바르게 하다,동사
24658,strand,(실/머리카락) 가닥,명사
24659,strand,(이야기/생각 등의) 부분,명사
24660,strand,오도 가도 못하게 하다,동사
24661,strategic,전략적인,형용사
24662,strategically,전략적으로,부사
24663,street food,길거리 음식,명사
24664,stressed out,"스트레스로 지친,스트레스가 쌓인",숙어/관용어
24665,stretcher,(부상자를 싣는) 들것,명사
24666,stride,성큼성큼 걷다,동사
24667,strife,싸움,명사
24668,struggle,"애쓰다,싸우다",동사
24669,struggle,투쟁,명사
24670,struggle,"힘든 일,어려운 일",명사
24671,struggle to,~하려고 애쓰다,동사
24672,stubborn,"고집스러운,완고한",형용사
24673,stuff A with B,A를 B로 채워 넣다,숙어/관용어
24674,stuffy,답답한,형용사
24675,stuffy,(코가) 막힌,형용사
24676,stunned,정신이 멍한,형용사
24677,sturdy,견고한,형용사
24678,stylish,"유행을 따른,멋진",형용사
24679,subscriber,구독자,명사
24680,subspecies,아종,명사
24681,subtract,빼다,동사
24682,succeed in,~에 성공하다,숙어/관용어
24683,successfully,성공적으로,부사
24684,successive,연속되는,형용사
24685,suction,흡입,명사
24686,suffer from,~으로 고생하다,숙어/관용어
24687,suffering,고통,명사
24688,sufficiently,충분히,부사
24689,suffocate,"호흡을 막다,질식사시키다",동사
24690,sugary,"설탕이 든,달콤한",형용사
24691,suit,정장 한 벌,명사
24692,suit,"맞다,적합하다",동사
24693,suit,적합하다,동사
24694,suit,소송,명사
24695,suit,어울리다,동사
24696,sullen,"시무룩한,언짢은",형용사
24697,superiority,우위,명사
24698,supervisor,"상사(관),감독관",명사
24699,supplies,물품,명사
24700,supply A with B,A에게 B를 제공하다,숙어/관용어
24701,supportively,"지지가 되게,도움이 되게",부사
24702,suppress,참다,동사
24703,suppress,금지하다,동사
24704,suppress,"진압하다,억압하다",동사
24705,surf the Web,"인터넷에서 정보를 둘러보다,웹서핑하다",숙어/관용어
24706,surface,수면으로 올라오다,동사
24707,surgeon,외과의사,명사
24708,surplus,과잉의,형용사
24709,surplus,흑자,명사
24710,surplus,"과잉,잉여",명사
24711,surrealism,초현실주의,명사
24712,surrounding,주위의,형용사
24713,surroundings,주변,명사
24714,survival,생존,명사
24715,suspected,"의심스러운,의심이 가는",형용사
24716,suspension bridge,현수교,명사
24717,suspicion,"의심,의혹",명사
24718,suspicious,의심하는,형용사
24719,sustainability,지속 가능성,명사
24720,sustainable,견딜 수 있는,형용사
24721,sustainable,지속 가능한,형용사
24722,swallow,삼키다,동사
24723,swallow,제비,명사
24724,sway,흔들리다,동사
24725,sway,영향,명사
24726,sweep off,쓸어내다,동사
24727,swiftly,"신속히,빨리",부사
24728,swipe,후려치다,동사
24729,swipe,(전자 카드를 인식기에) 읽히다,동사
24730,tactic,전략,명사
24731,tactile,"촉각의,촉각을 이용한",형용사
24732,take ~ for granted,~을 당연하게 여기다,숙어/관용어
24733,take ~ into account,~를 고려하다,숙어/관용어
24734,take ~ into account,~을 고려하다,숙어/관용어
24735,take a breath,숨을 쉬다,숙어/관용어
24736,take a deep breath,심호흡을 하다,숙어/관용어
24737,take an interest in,~에 관심을 갖다,숙어/관용어
24738,take apart,분해하다,숙어/관용어
24739,take courage,용기를 내다,숙어/관용어
24740,take for granted,~을 당연시하다,숙어/관용어
24741,take in,(내부로) 흡수하다,숙어/관용어
24742,take in,이해하다,숙어/관용어
24743,take notice,"주목하다,알아차리다",숙어/관용어
24744,take off,~를 벗다,숙어/관용어
24745,take off,"이륙하다,도약하다",숙어/관용어
24746,take off,(공연 등을) 중단하다,숙어/관용어
24747,take off,"깎다,제하다",숙어/관용어
24748,take off,~을 쉬다,숙어/관용어
24749,take off,~을 떼다,숙어/관용어
24750,take on,고용하다,숙어/관용어
24751,take on,(일을) 맡다,숙어/관용어
24752,take on,책임을 지다,숙어/관용어
24753,take on,"(의미를) 지니게 되다,띠게 되다",동사
24754,take one's last breath,"숨이 멎다,숨을 거두다",숙어/관용어
24755,take over,"맡다,인수하다",숙어/관용어
24756,take over,"차지하다,장악하다",숙어/관용어
24757,take part in,~에 참가하다,숙어/관용어
24758,take place,발생하다,숙어/관용어
24759,take place,"개최하다,열리다",숙어/관용어
24760,take responsibility for,책임지다,숙어/관용어
24761,take revenge,복수하다,숙어/관용어
24762,take risks,위험을 감수하다,숙어/관용어
24763,take the lead,주도권을 잡다,숙어/관용어
24764,take the lead,선두에 서다,숙어/관용어
24765,take the place of,~을 대신하다,숙어/관용어
24766,take the trouble,수고를 아끼지 않다,숙어/관용어
24767,take turns,교대하다,숙어/관용어
24768,take turns,방향을 바꾸다,숙어/관용어
24769,take up,(공간 등을) 차지하다,숙어/관용어
24770,take up,계속하다,숙어/관용어
24771,take up,(재미로) ~을 배우다,숙어/관용어
24772,take up,"시작하다,손대다",숙어/관용어
24773,taken for granted,당연시되는,숙어/관용어
24774,takeoff,이륙,명사
24775,tame,길들여진,형용사
24776,tame,길들이다,동사
24777,tarantula,(독거미) 타란툴라,명사
24778,tear down,"파괴하다,허물다",숙어/관용어
24779,technician,전문가,명사
24780,telecommunication,원격통신,명사
24781,tell A from B,A와 B를 구별하다,숙어/관용어
24782,temperature,온도,명사
24783,temporarily,일시적으로,부사
24784,tendency,"동향,추세",명사
24785,tendency,기질,명사
24786,tension,긴장,명사
24787,termite,흰개미,명사
24788,terrain,지형,명사
24789,testify,"증언하다,증명하다",동사
24790,textile,직물의,형용사
24791,textile,직물,명사
24792,texture,"(직물의) 감촉,질감",명사
24793,thankful,감사하는,형용사
24794,the human race,인류,명사
24795,the other day,"일전에,며칠 전",숙어/관용어
24796,the other way around,반대쪽으로,숙어/관용어
24797,theatrical,연극의,형용사
24798,therapist,치료 전문가,명사
24799,thermal,"열의,열에 의한",형용사
24800,thirst,갈증,명사
24801,thoroughly,철저히,부사
24802,thoroughness,"완전함,철저함",명사
24803,thoroughness,"철저함,완결성",명사
24804,thoughtful,"배려심 있는,사려 깊은",형용사
24805,thoughtful,생각에 잠긴,형용사
24806,thoughtless,"경솔한,부주의한",형용사
24807,thousands of,수천의,숙어/관용어
24808,thrift shop,중고품 할인 가게,명사
24809,throw away,내다 버리다,숙어/관용어
24810,thrust,밀다,동사
24811,thrust,추력,명사
24812,thumb through,(책 등을) 휙휙 넘겨보다,숙어/관용어
24813,thunderstorm,뇌우,명사
24814,tilt,경사,명사
24815,tilt,기울이다,동사
24816,tilt,"(말/글로) 공격하다,싸우다",동사
24817,tip of the iceberg,빙산의 일각,숙어/관용어
24818,to be honest,솔직히 말하면,숙어/관용어
24819,to one's advantage,"~에게 유리하도록,~의 형편에 알맞게",숙어/관용어
24820,to one's advantage,"~에게 유리하도록,~의 형편에 알맞게",숙어/관용어
24821,to one's astonishment,놀랍게도,부사
24822,to put it simply,간단히 말해서,숙어/관용어
24823,toe,발가락,명사
24824,tofu,두부,명사
24825,torch,횃불,명사
24826,touched,감동받은,형용사
24827,touching,감동적인,형용사
24828,tourism,관광사업,명사
24829,tourism,여행,명사
24830,township,"마을,읍",명사
24831,toxify,오염시키다,동사
24832,toxin,독소,명사
24833,traceable,추적할 수 있는,형용사
24834,track and field,육상 경기,명사
24835,tracker,추적기,명사
24836,trade,무역,명사
24837,trade,"거래하다,무역하다",동사
24838,trade,"일,직업",명사
24839,traditional,"전통의,전통적인",형용사
24840,traffic jam,교통 체증,명사
24841,trafficking,밀매,명사
24842,trailer,트레일러,명사
24843,trailer,(영화/TV) 예고편,명사
24844,trait,(성격상의) 특성,명사
24845,trajectory,"궤도,탄도",명사
24846,trample,"짓밟다,뭉개다",동사
24847,transaction,거래,명사
24848,transformation,변형,명사
24849,transformation,"변신,변화",명사
24850,transmitter,송신기,명사
24851,transparent,투명한,형용사
24852,transparent,"명쾌한,이해하기 쉬운",형용사
24853,transpiration,증산,명사
24854,transplant,(식물을) 옮겨 심다,동사
24855,transplant,이식하다,동사
24856,transportation,"운송,교통",명사
24857,transportation,교통수단,명사
24858,travel agency,여행사,숙어/관용어
24859,tremble,떨다,동사
24860,tribute,감사의 표시,명사
24861,tribute,찬사,명사
24862,tricky,교활한,형용사
24863,tricky,"까다로운,곤란한",형용사
24864,tropical,열대(지방)의,형용사
24865,tropics,열대 지방,명사
24866,troubled,문제를 가진,형용사
24867,trustworthy,신뢰할 수 있는,형용사
24868,try out,~을 시험해보다,숙어/관용어
24869,tsunami,지진에 의한 해일,명사
24870,tug,잡아당기다,동사
24871,turbine,(기계) 터빈,명사
24872,turn A into B,A를 B로 바꾸다,숙어/관용어
24873,turn A into B,A를 B로 바꾸다,숙어/관용어
24874,turn into,"~이 되다,~로 변하다",숙어/관용어
24875,turn to,~에 의지하다,숙어/관용어
24876,turn to,되다,숙어/관용어
24877,turn to,(책 페이지를) 펴다,숙어/관용어
24878,turn to,~쪽으로 향하다,숙어/관용어
24879,turn to,~에 의지하다,숙어/관용어
24880,turn to,되다,숙어/관용어
24881,turn to,(책 페이지를) 펴다,숙어/관용어
24882,turn to,~쪽으로 향하다,숙어/관용어
24883,tusk,상아,명사
24884,tutor,가정교사,명사
24885,tutor,가르치다,동사
24886,tutor,개인 교습하다,동사
24887,tutorial,개인 교습의,형용사
24888,tutorial,"강좌,강의",명사
24889,twisted,꽈배기처럼 꼬아진,형용사
24890,twisted,"삔,접질린",형용사
24891,typical,전형적인,형용사
24892,typical,일반적인,형용사
24893,typically,일반적으로,부사
24894,ultimately,궁극적으로,부사
24895,ultimately,마침내,부사
24896,ultraviolet,자외선의,형용사
24897,ultraviolet,자외선,명사
24898,unbutton,단추를 풀다,동사
24899,uncertainty,불확실(성),명사
24900,unconscious,의식을 잃은,형용사
24901,unconsciously,무의식적으로,부사
24902,unconstitutional,헌법에 위배되는,형용사
24903,uncover,(사실이) 드러나다,동사
24904,uncover,밝히다,동사
24905,undefeated,(스포츠에서) 무패의,형용사
24906,under pressure,스트레스를 받는,숙어/관용어
24907,under the heading of,~의 제목 하에,숙어/관용어
24908,underrepresent,실제보다 적게 표시하다,동사
24909,underused,충분히 이용(활용)되지 않는,형용사
24910,underutilize,충분히 활용하지 않다,동사
24911,undoubtedly,의심의 여지없이,부사
24912,undue,"지나친,과도한",형용사
24913,unequipped,준비가 안 된,형용사
24914,uneven,울퉁불퉁한,형용사
24915,uneven,불균형의,형용사
24916,unexpected,뜻밖의,형용사
24917,unexpectedly,갑자기,부사
24918,unfair,불공평한,형용사
24919,unfamiliar,"익숙지 않은,낯선",형용사
24920,unfavorable,호의적이지 않은,형용사
24921,unfit,부적합한,형용사
24922,unflooded,물이 차지 않은,형용사
24923,unfold,펼치다,동사
24924,unfold,(이야기가) 전개되다,동사
24925,unforgettable,잊을 수 없는,형용사
24926,unfortunate,불운한,형용사
24927,unicycle,외발자전거,명사
24928,uninhabitable,살 수 없는,형용사
24929,uniqueness,"독특성,유일함",명사
24930,unity,통일,명사
24931,unity,"화합,일치",명사
24932,unity,통합,명사
24933,unjust,부당한,형용사
24934,unmanned,무인의,형용사
24935,unnaturally,부자연스럽게,부사
24936,unnecessary,불필요한,형용사
24937,unofficially,비공식적으로,부사
24938,unpleasant,불쾌한,형용사
24939,unpopular,인기 없는,형용사
24940,unreachable,도달할 수 없는,형용사
24941,unreliable,믿을 수 없는,형용사
24942,unremarkable,"특별할 것 없는,평범한",형용사
24943,unsatisfied,불만스러워 하는,형용사
24944,unsung,찬양받지 못한,형용사
24945,unsure,확신이 없는,형용사
24946,unsuspecting,의심하지 않는,형용사
24947,unwind,긴장을 풀다,동사
24948,up to,~까지,숙어/관용어
24949,up to,"~에 적합한,~을 할 수 있는",형용사
24950,up-selling,"연쇄 판매,업셀링",명사
24951,upcycle,업사이클(신조어:upgrade+recycle),명사
24952,upcycle,새활용하다,동사
24953,upcycle,"업사이클하다,더 나은 것으로 만들다",동사
24954,upheaval,"격변,대변동",명사
24955,uplifting,희망을 주는,형용사
24956,uplink,업링크,명사
24957,upright,수직으로 세워 둔,형용사
24958,upright,"(자세가) 꼿꼿한,똑바른",형용사
24959,upside down,"거꾸로,뒤집혀",숙어/관용어
24960,urbanization,도시화,명사
24961,urgency,긴급,명사
24962,urine,소변,명사
24963,vacuum cleaner,청소기,명사
24964,vaguely,모호하게,부사
24965,valley,골짜기,명사
24966,valley,계곡,명사
24967,vampire,흡혈귀,명사
24968,vanity,"자만심,허영심",명사
24969,vapor,증기,명사
24970,variable,변동이 심한,형용사
24971,variable,가변적인,형용사
24972,variation,"변화,변형",명사
24973,variety,다양성,명사
24974,variety,"품종,종류",명사
24975,vary from A to B,A에서 B까지 달라지다,숙어/관용어
24976,vegetarian,채식주의자,명사
24977,vegetation,식물,명사
24978,velocity,속도,명사
24979,vent,통풍구,명사
24980,vent,발산하다,동사
24981,vet,수의사,명사
24982,veteran,"베테랑,참전 용사",명사
24983,vibrant,선명한,형용사
24984,vibrant,활기찬,형용사
24985,vibration,"(가는)떨림,진동",명사
24986,victor,승리자,명사
24987,victorious,"승리의,승리한",형용사
24988,violate,어기다,동사
24989,violation,위반,명사
24990,violence,폭력,명사
24991,violent,폭력적인,형용사
24992,violent,(감정/말 등이) 격렬한,형용사
24993,visibility,눈에 보임,명사
24994,vital sign,활력 징후,명사
24995,vital signs,활력 징후,명사
24996,vitality,"활기,생기",명사
24997,vividly,생생하게,부사
24998,vividness,"생생함,발랄함",명사
24999,vocational,직업과 관련된,형용사
25000,voluntary,자발적인,형용사
25001,volunteer,"자원자,자원봉사자",명사
25002,volunteer,자원하다,동사
25003,volunteer,자원봉사하다,동사
25004,volunteer,"자원의,자발적인",형용사
25005,vow,맹세,명사
25006,voyage,항해,명사
25007,vulnerable,"취약한,연약한",형용사
25008,wage war,전쟁을 벌이다,숙어/관용어
25009,wallet,(남성용) 지갑,명사
25010,wanderer,방랑자,명사
25011,wardrobe,옷장,명사
25012,waterproof,방수의,형용사
25013,waterway,수로,명사
25014,way too far,"거리가 먼,지나친",숙어/관용어
25015,wear away,차츰 닳다,숙어/관용어
25016,weekday,주중,명사
25017,weightlessness,무중력(상태),명사
25018,welcome,환영하다,동사
25019,well-being,"행복,웰빙",명사
25020,well-being,"행복,복지",명사
25021,well-paying,보수가 좋은,형용사
25022,well-preserved,잘 보존된,형용사
25023,what if,~한다면 어떻게 될까?,숙어/관용어
25024,what's more,게다가,숙어/관용어
25025,whirl,회전,명사
25026,whirl,빙그르르 돌다,동사
25027,whole grain,통곡물,명사
25028,wick,(양초등의) 심지,명사
25029,widespread,"널리 퍼진,광범위한",형용사
25030,width,폭,명사
25031,wilderness,황무지,명사
25032,willingness,기꺼이 하기,명사
25033,win over,"설득시키다,자기편으로 끌어오다",숙어/관용어
25034,wince,움찔하다,동사
25035,wind farm,풍력 발전 지역,명사
25036,winding,구불구불한,형용사
25037,windmill,풍차,명사
25038,winglet,작은 날개,명사
25039,wipe off,~을 없애다,숙어/관용어
25040,wipe out,~을 파괴하다,숙어/관용어
25041,wipe out,죽이다,숙어/관용어
25042,wireless,무선(의),형용사
25043,with the help of,~의 도움으로,숙어/관용어
25044,without notice,예고없이,숙어/관용어
25045,withstand,견디다,동사
25046,wombat,웜뱃,명사
25047,woodpecker,딱따구리,명사
25048,worm,벌레,명사
25049,worshipful,충실한,형용사
25050,worthless,가치 없는,형용사
25051,wounded,"부상한,다친",형용사
25052,wrap up,"마치다,마무리 짓다",숙어/관용어
25053,wrap up,싸다,숙어/관용어
25054,wrinkled,주름이 있는,형용사
25055,writing system,문자체계,명사
25056,yarn,"(직물용) 실,방적사",명사
25057,year after year,매년,숙어/관용어
25058,yearly salary,연봉,명사
25059,yellow fever,황열병,명사
25060,yogurt,요구르트,명사
25061,youth,젊음,명사
25062,youth,어린 시절,명사
25063,youth,청년,명사
25064,zoology,동물학,명사
25065,zoom in,확대하다,숙어/관용어
25066,arch,아치,명사
25067,arch,둥글게 구부리다,동사
25068,attack,공격하다,동사
25069,attack,공격,명사
25070,award,수여하다,동사
25071,award,상,명사
25072,bandage,붕대,명사
25073,bandage,붕대를 감다,동사
25074,benefit,이득,명사
25075,benefit,이득을 보다,동사
25076,blindfold,눈을 가리다,동사
25077,blindfold,눈가리개,명사
25078,burp,트림,명사
25079,burp,트림하다,동사
25080,cathedral,대성당,명사
25081,cathedral,대성당의,형용사
25082,Celsius,섭씨,명사
25083,Celsius,섭씨의,형용사
25084,cheat,부정행위,명사
25085,cheat,부정행위하다,동사
25086,comfort,위로,명사
25087,comfort,위로하다,동사
25088,comfort,위로하다,동사
25089,comfort,"안심, 위안",명사
25090,complete,"완성하다, 완료하다",동사
25091,complete,완성된,형용사
25092,daydream,공상,명사
25093,daydream,공상을 하다,동사
25094,disregard,무시,명사
25095,disregard,무시하다,동사
25096,escape,"탈출하다, 달아나다",동사
25097,escape,탈출,명사
25098,exploit,착취,명사
25099,exploit,착취하다,동사
25100,feature,~을 특징으로 삼다,동사
25101,feature,"특징, 특색",명사
25102,gossip,험담을 하다,동사
25103,gossip,소문,명사
25104,mime,무언극,명사
25105,mime,무언극을 하다,동사
25106,offer,"제공하다, 제의하다",동사
25107,offer,(특별)할인,명사
25108,overflow,넘치다,동사
25109,overflow,넘침,명사
25110,paddle,노,명사
25111,paddle,노를 젓다,동사
25112,pair,(둘씩) 짝을 짓다,동사
25113,pair,한 쌍(켤레),명사
