textbook ID,학년,출판사(저자),교육과정,Lesson,Title,DESCRIPTION,KEY_EXPRESSION,KEY_EXPRESSION_Kor,SUB_EXPRESSION,SUB_EXPRESSION_Kor
701,중1,능률(김),2015,1,Welcome to My World,be동사의 긍정문과 부정문,I am excited to share my story.,내 이야기를 나누는 것에 신나해요.,They are eager to explore new ideas. She is not bored with the challenges.,그들은 새로운 아이디어를 탐구하는 것에 열심이에요. 그녀는 도전에 지루해하지 않아요.
701,중1,능률(김),2015,2,Discover Your Culture,현재진행형,I'm exploring the traditional art gallery.,나는 전통 미술관을 탐험하고 있어요.,I'm visiting the local heritage site. I'm tasting authentic street cuisine.,나는 지역 유산지를 방문하고 있어요. 나는 정통 길거리 음식을 맛보고 있어요.
701,중1,능률(김),2015,3,"Spend Smart, Save Smart",동사의 과거형,I bought a stylish notebook from the discount shop.,나는 할인 가게에서 멋진 공책을 샀어요.,He spent his money wisely at the store. She purchased a camera on sale.,그는 가게에서 돈을 현명하게 썼어요. 그녀는 할인 중인 카메라를 샀어요.
701,중1,능률(김),2015,4,The Power of Ideas,목적어를 두 개 갖는 동사,The expert offered us a brilliant idea.,전문가가 우리에게 빛나는 아이디어를 제시했어요.,The mentor gave us a useful tip. The leader presented us a groundbreaking strategy.,멘토가 우리에게 유익한 팁을 줬어요. 리더가 우리에게 획기적인 전략을 제시했어요.
701,중1,능률(김),2015,5,Follow Your Dreams,"비교급, 최상급",She worked more steadily than anyone else.,그녀는 누구보다도 꾸준히 일했어요.,He ran more quickly than his classmates. Dreaming big is the best way.,그는 반 친구들보다 더 빠르게 달렸어요. 크게 꿈꾸는 것이 최고예요.
701,중1,능률(김),2015,6,The Joy of Art,목적을 나타내는 to부정사,She visited the gallery to admire paintings.,그녀는 그림을 감상하기 위해 갤러리를 방문했어요.,They went to the park to sketch nature. We stayed after school to practice art techniques.,그들은 자연을 스케치하기 위해 공원에 갔어요. 우리는 미술 기법을 연습하기 위해 방과 후에 남았어요.
701,중1,능률(김),2015,7,Time for Stories,감탄문,How intriguing the stories are tonight!,오늘 밤 이야기가 얼마나 흥미로운지 정말 멋져요.,How delightful the characters appear! How engaging the narrative becomes!,캐릭터들이 참 매력적으로 보여요. 이야기가 정말 흥미롭게 전개돼요.
702,중1,능률(양),2015,1,Meet My New Classmates,목적어로 쓰이는 동명사,I enjoy chatting with my classmates.,나는 반 친구들과 이야기하는 것을 즐겨요.,My friend enjoys playing basketball. Our teacher enjoys creating fun lessons.,내 친구는 농구하는 것을 즐겨요. 우리 선생님은 재미있는 수업을 만드는 것을 즐겨요.
702,중1,능률(양),2015,2,Fun Plans for Happy Days,be going to 의문문,Are you going to visit the theme park next weekend?,너는 다음 주말에 테마파크에 갈 거예요?,Is she going to join the picnic tomorrow? | Are they going to watch the fireworks tonight?,그녀는 내일 피크닉에 갈 거예요? | 그들은 오늘 밤 불꽃놀이를 볼 거예요?
702,중1,능률(양),2015,3,"Thank You, My Family",that 명사절,I feel that love strengthens us.,저는 사랑이 우리를 강하게 만든다고 느껴요.,She believes that a kind word heals wounds. They know that support makes life easier.,그녀는 친절한 말이 상처를 치유한다고 믿어요. 그들은 지지가 인생을 더 쉽게 만든다고 알아요.
702,중1,능률(양),2015,4,"Get Healthy, Be Happy!",목적을 나타내는 to부정사,I exercised to improve my mood.,기분을 좋게 하기 위해 운동했어요.,I ate fruits to stay energetic. She studied to understand science.,활기차게 지내기 위해 과일을 먹었어요. 과학을 이해하기 위해 공부했어요.
702,중1,능률(양),2015,5,Why in the World?,and를 활용한 동사구 결합,Students listen attentively and complete tasks.,학생들이 열심히 듣고 과제를 완성해요.,Teachers explain clearly and guide students. Friends chat happily and solve puzzles.,선생님이 명확하게 설명하고 학생들을 지도해요. 친구들이 즐겁게 대화하고 퍼즐을 풀어요.
702,중1,능률(양),2015,6,For a Better World,too + 형용사: too 뒤에 형용사를 붙여 부정문이나 긍정문에서 강한 정도를 나타낼 때 사용해요.,The room is too dark at night.,밤에는 방이 너무 어두워요.,My shoes are too old for a marathon. This food is too spicy for me to eat.,제 신발은 마라톤하기에는 너무 오래되었어요. 이 음식은 제가 먹기에는 너무 매워요.
702,중1,능률(양),2015,7,Let's Go Green,과거진행형,I was planting trees by the river.,나는 강가에서 나무를 심고 있었어요.,She was saving water at home. They were recycling bottles in the community.,그녀는 집에서 물을 아끼고 있었어요. 그들은 동네에서 병을 재활용하고 있었어요.
702,중1,능률(양),2015,8,Wonderful Korea,형용사의 최상급,It has the tallest mountains in Korea.,한국에는 가장 높은 산들이 있어요.,Seoul is one of the most vibrant cities. Busan offers the clearest seas.,서울은 가장 활기찬 도시 중 하나예요. 부산은 가장 깨끗한 바다를 제공해요.
703,중1,동아(윤),2015,1,Heart to Heart,be동사,I am a caring student.,나는 다정한 학생이에요.,He is always cheerful. She is very friendly.,그는 항상 명랑해요. 그녀는 아주 친절해요.
703,중1,동아(윤),2015,2,Have Fun at School!,의문문,Do you have a favorite subject?,너는 좋아하는 과목이 있어요?,Do you join clubs after school? Do you enjoy school events?,너는 방과 후 동아리에 참여해요? 너는 학교 행사를 즐겨요?
