fill_in_blank_quiz,korean_translation,answer,hint_eng,hint_kor
Scientists ___ the answer using tests.,과학자들이 테스트로 답을 [[밝혀내]]어요.,determine,You decide the result after thinking.,생각 후에 결과를 정하는 것을 의미해요.
Please ___ the cake evenly.,케이크를 고르게 [[나누]]어요.,divide,It means to split something into parts.,무엇을 여러 부분으로 나누는 거예요.
There is a ___ between two teams.,두 팀 사이의 [[차이점]]을 봐요.,divide,This shows the gap between two groups.,이것은 두 집단 사이의 차이를 보여줘요.
She acted in a ___ at school.,그녀는 학교에서 [[연극]]에 출연했어요.,drama,It is a play you see on stage.,무대에서 보는 배우들의 공연이에요.
I watch ___ on TV.,나는 TV에서 [[드라마]]를 봐요.,drama,It is a type of TV show that tells a story.,이것은 이야기를 가진 TV 프로그램이에요.
The bill is ____ today.,청구서가 [[당연한]]이에요.,due,It shows when something is expected or rightful.,무언가 옳고 적절한 때를 나타내요.
Her delay was ___ traffic.,그녀의 지각은 [[로 인한]] 교통때문이에요.,due,It indicates that one thing is caused by another.,어떤 일이 다른 일 때문에 일어난다는 뜻이에요.
The assignment is ___ tomorrow.,과제는 [[하기로 되어 있는]] 내일이에요.,due,It means something scheduled or expected.,예정되었거나 기대되는 것을 말해요.
The bill is ___ today.,청구서가 오늘 [[지불 기일이 만기된]]예요.,due,It is used for something that should be paid.,지금 지불해야 하는 것을 말해요.
The bill is ___.,청구서는 [[기일이 된]] 상태에요.,due,It means something should be paid now.,지금 바로 지불해야 함을 의미해요.
They ___ the trash.,그들은 쓰레기를 [[버리]]어요.,dump,It means to throw away unwanted items.,불필요한 물건을 버리는 것을 의미해요.
I saw a ___ of trash.,나는 길가에 있는 쓰레기 [[더미]]를 봤어요.,dump,Rearrange these letters!: D U M P,다음 글자들을 재배열 해보세요!: D U M P
The truck stopped at the ___.,트럭이 [[쓰레기 더미]]에 멈췄어요.,dump,It is a place where people leave their trash.,사람들이 쓰레기를 버리는 곳이에요.
They saw a ___ near town.,그들은 마을 근처의 [[폐기]]장에 갔어요.,dump,It's a place where you throw away trash.,쓰레기를 버리는 곳이에요.
The car runs on _________ power.,차는 [[전기]] 힘으로 움직여요.,electric,It means something is powered by electricity.,전기로 작동된다는 뜻이에요.
His explanation was ___ and clear.,그의 설명은 [[초보의]]하고 명쾌했어요.,elementary,It means something very basic and simple.,아주 기본적이고 단순한 것을 말해요.
I attend ___ school.,나는 [[초등]] 학교에 다녀요.,elementary,It describes a school for young children.,어린 학생들을 위한 학교를 뜻해요.
The ___ stretched over many lands.,옛 [[제국]]은 넓은 땅을 포함했어요.,empire,It is a big group of countries ruled by one leader.,한 지도자가 통치하는 많은 나라예요.
The car's ___ is very powerful.,자동차의 [[엔진]] 힘이 세요.,engine,It makes a car move.,자동차가 움직일 수 있게 해줘요.
They try to ____ quickly.,그들은 빠르게 [[달아나]]요.,escape,It is what you do when you run away from danger.,위험에서 도망칠 때 하는 행동이에요.
I love pizza ___ on Fridays.,저는 금요일에 피자를 [[특히]] 좋아해요.,especially,"If you want to show one thing is more important, use this word.",하나가 더 중요할 때 쓰는 단어예요.
Have you ___ seen it?,너는 [[언젠가]] 그것을 본 적 있어요?,ever,It is used to ask about any time in your life.,인생에서 한 번이라도 그런 경험이 있는지 물어보는 단어에요.
I have ___ seen a rainbow.,나는 무지개를 [[지금까지]] 본 적이 있어.,ever,This word is used in questions to mean 'at any time'.,이 단어는 질문할 때 '언제라도'라는 뜻이에요.
I have ___ seen a rainbow.,나는 [[평생에]] 무지개를 봤어요.,ever,This word is used when asking about any time in your life.,이 단어는 어떤 때라도 물어볼 때 사용해요.
Have you ___ seen a rainbow?,혹시 무지개를 [[이전에]] 본 적 있어요.,ever,It shows if something happened before.,이것은 지금 이전에 일어난 일을 나타내요.
Stars ___ in the sky.,별은 하늘에 [[존재]]해요.,exist,It means being present in a place.,어떤 것이 한 곳에 있는 것을 말해요.
He is an ___ actor.,그는 [[단역]] 배우예요.,extra,It is a person with a very small role in a movie.,영화에서 아주 작은 역할을 하는 사람을 말해요.
We have ___ time today.,오늘은 [[여분의]] 시간이 있어요.,extra,It means something additional beyond the normal amount.,보통보다 더 많은 것을 뜻해요.
The room looks ___ to him.,방이 [[낯익은]] 것 같아요.,familiar,It means you know something from before.,이전에 본 적이 있는 것을 말해요.
I ___ ice cream.,나는 아이스크림을 [[원하]]해요.,fancy,Use this word when you really want something.,매우 원하는 것을 표현할 때 쓰는 단어예요.
They shared a ___ about dragons.,그들은 용에 대한 [[공상]]을 나눴어요.,fancy,When you imagine something that is not real.,실제로 존재하지 않는 것을 상상할 때 쓰는 말이에요.
He drove a ___ car.,그는 [[화려한]] 자동차를 탔어요.,fancy,It means decorated in an impressive way.,멋지게 장식된 것을 말해요.
The party dress is ___.,파티 드레스는 [[고급]]해요.,fancy,It is used to say something looks very nice and expensive.,매우 멋지고 비싼 것을 설명할 때 사용해요.
My hat is ___.,내 모자는 [[멋진]]이에요.,fancy,It describes something very attractive and special.,아주 예쁘거나 특별한 것을 말해요.
I booked a ___ to Paris.,나는 파리행 [[항공편]] 예약했어요.,flight,This is used when you travel by plane.,비행기를 탈 때 쓰는 단어예요.
I booked my ___ last summer.,나는 여름에 [[항공편]] 예약했어요.,flight,It is a trip by airplane.,비행기는 여행할 때 타요.
They planned a ______ to escape.,그들은 위험에서 도망치기 위해 [[탈출]]했어요.,flight,It is used when escaping danger quickly.,위험에서 빨리 도망칠 때 사용하는 단어예요.
Her ___ changed overnight.,그녀의 [[행운]]은 순식간에 바뀌었어요.,fortune,It is the word for unexpected good luck.,예상치 못한 좋은 운을 말해요.
The gambler won a huge ___.,도박꾼은 큰 [[재산]]을 획득했어요.,fortune,It means having a lot of money.,많은 돈을 가진 것을 말해요.
He gained his ___ by winning a lottery.,그는 복권에 당첨되어 [[행운]]을 얻었어요.,fortune,It means good luck or money that you might get.,좋은 운이나 재산을 얻을 수 있다는 뜻이에요.
I see a ___ on a log.,나는 통나무 위에서 [[개구리]]를 봐요.,frog,This animal jumps and lives near water.,이 동물은 물가에서 뛰어놀아요.
They packed ___ for the hike.,그들은 산행에 [[장비]]를 챙겼어요.,gear,It refers to equipment for tasks or fun.,일이나 즐거움을 위한 도구를 말해요.
The car shifts ___.,자동차는 [[기어]]를 사용해요.,gear,It helps the car to change speed.,차가 속도를 바꾸도록 도와줘요.
I use my ___ every day.,저는 매일 [[소유물]]을 사용해요.,gear,These are items you use for a sport or trip.,운동이나 여행할 때 쓰는 물건이에요.
My teacher is ___ with everyone.,선생님은 모두에게 [[점잖은]] 분이에요.,gentle,"When someone is calm and kind, they show this trait.",누군가 침착하고 친절하면 이런 모습을 보여요.
She is very ______.,그녀는 매우 [[온순]]해요.,gentle,It means kind and calm.,친절하고 조용한 뜻이에요.
A ___ stands near the tower.,탑 옆에 서 있는 [[거인]] 있어요.,giant,It describes something very big in size.,매우 큰 크기를 나타내요.
The ___ elephant walked slowly.,저 [[거대한]] 코끼리가 천천히 걸었어요.,giant,It means very big and large in size.,보통보다 훨씬 크다는 뜻이에요.
The sunset is ______.,노을은 [[아름다운]]해요.,gorgeous,How would you describe a beautiful sunset?,아름다운 노을을 보면 뭐라고 할까요?
She visits the ___ every week.,그녀는 매주 [[식료잡화점]]에 가요.,grocery,You go there to buy food and daily items.,음식과 생활용품을 사는 곳이에요.
He visited the ___ for food.,그는 음식을 사러 [[식료품]] 가게에 갔어요.,grocery,You buy food items like milk and eggs there.,우유와 계란 같은 식품을 살 수 있는 곳이에요.
