fill_in_blank_quiz,korean_translation,answer,hint_eng,hint_kor
The boat sailed through the ___.,배는 [[해협]]을 지나갔어요.,channel,It is a narrow water way between two lands.,두 땅 사이를 잇는 좁은 물길이에요.
I watch ___ on TV.,나는 TV에서 [[채널]] 봐요.,channel,It is a TV station.,TV에서 볼 수 있는 방송국이에요.
They ___ the thief quickly.,그들은 도둑을 [[쫓]]았어요.,chase,You run after someone to catch them.,누군가를 잡으려고 달려가요.
I ___ my dream.,나는 내 꿈을 [[추구]]해요.,chase,You run after something important.,중요한 것을 뒤쫓는 행동이에요.
He kissed her ___ gently.,그는 그녀의 [[뺨]]을 부드럽게 키스했어요.,cheek,It is the soft part on your face side.,얼굴 옆에 있는 부드러운 부분이에요.
We must ___ for our team.,우리 팀을 위해 [[힘을 복돋우]]어요.,cheer,"When you want to encourage others, you clap and shout.","다른 사람들을 격려하고 싶을 때, 박수치며 소리내는 행동이에요."
They ______ the team.,그들은 팀을 [[응원]]했어요.,cheer,You do this to show support for a team.,팀을 응원할 때 하는 행동이에요.
The crowd gave a loud ___.,관중은 큰 [[환호]]를 보냈어요.,cheer,You hear it when people feel happy.,사람들이 기쁠 때 내는 소리예요.
I ___ my food slowly.,나는 음식을 천천히 [[씹]]어요.,chew,You use these to break food into smaller pieces.,음식을 작은 조각으로 나누기 위해 이를 사용해요.
The computer contains a ___.,컴퓨터에는 [[칩]]이 있어요.,chip,It is a small electronic part in computers.,컴퓨터에 쓰이는 작은 부품이에요.
I ate a ___ at lunch.,나는 점심에 [[얇게 썬 과자]] 먹었어요.,chip,"It is a small, crispy snack you eat with your hand.",손으로 먹는 작고 바삭한 간식이에요.
You have a ____ to pick.,너는 [[선택]]을 할 수 있어요.,choice,You pick one option from many.,여러 가지 중 하나를 고르는 거예요.
I go to ____ on weekends.,나는 주말에 [[영화관]]에 가요.,cinema,You go there to watch movies.,영화를 보기 위해 가는 곳이에요.
A ___ lives in a town.,한 [[시민]]은 동네에 살아요.,citizen,A person who belongs to a country.,한 국가에 속한 사람이에요.
I ___ the mouse.,나는 마우스를 [[클릭]]해요.,click,You press the mouse button to select something.,"컴퓨터에서 무언가를 선택할 때, 마우스 버튼을 눌러요."
The mouse makes a ___ sound.,마우스가 [[딸깍]] 소리를 내요.,click,It is the sound made when you press a button.,버튼을 누를 때 나는 소리예요.
He stood at the ___ of the mountain.,그는 산의 [[절벽]]에 섰어요.,cliff,Rearrange these letters!: F I F C L,다음 글자들을 재배열 해보세요!: F I F C L
The detective found a ___.,형사는 사건의 [[실마리]]를 발견했어요.,clue,It gives you a hint to solve a mystery.,어떤 수수께끼를 푸는 데 도움이 되는 정보예요.
The detective used a ___ to solve mystery.,탐정은 미스테리를 풀기 위해 [[단서]]를 사용했어요.,clue,It is a piece of information that helps solve puzzles.,문제를 풀 때 도움이 되는 정보예요.
The horse pulled the ____.,말이 [[사륜마차]]를 끌었어요.,coach,It is a type of carriage pulled by horses.,말이 끄는 마차에요.
The ___ guides the team.,그 [[코치]]가 팀을 지도해요.,coach,This person leads a sports team.,이 사람은 스포츠 팀을 이끌어요.
He used ___ in the stove.,그는 난로에 [[석탄]]을 사용했어요.,coal,It is a black substance that powers heaters.,난로에 쓰이는 검은 물질이에요.
We walked along the ____.,우리는 [[해안]]을 따라 걸었어요.,coast,It is the edge of land near the sea.,바다 옆의 땅을 말해요.
The lawyer studied the ___ carefully.,변호사는 [[법규]]를 주의 깊게 공부했어요.,code,It is a set of rules people must follow.,사람들이 지켜야 할 규칙이에요.
