fill_in_blank_quiz,korean_translation,answer,hint_eng,hint_kor
She feels ____ at school.,그녀는 학교에서 [[걱정]]해요.,anxiety,You feel this when you worry a lot before exams.,시험 전에 많이 걱정할 때 느껴요.
I feel ____ before exams.,나는 시험 전에 [[열망]]을 느껴요.,anxiety,Feeling very nervous before an important event.,중요한 일을 앞두고 긴장할 때 느껴요.
I feel _____ at night.,나는 밤에 [[불안]]을 느껴요.,anxiety,You feel it when you are very nervous about something.,무언가 때문에 매우 긴장될 때 느끼는 기분이에요.
There isn't ___ food left.,음식이 [[조금도]] 남지 않았어요.,any,Used in negatives and questions to show lack of something.,부정문이나 의문문에서 '조금도' 없음을 나타내요.
I don't have ___ money.,나는 [[아무]] 돈이 없어요.,any,It is used when there is no specific thing.,특정한 것이 없을 때 쓰는 단어예요.
I do not ___ watch TV.,나는 TV를 [[더 이상]] 보지 않아요.,anymore,It is used in negatives when a past habit has stopped.,예전에는 하던 일이 지금은 멈췄을 때 사용해요.
Did ___ call you?,[[누군가]] 전화했어요.,anyone,It is used when you refer to a person without naming them.,특정 사람을 말하지 않을 때 사용해요.
I don't have ___.,나는 [[아무것]] 없어요.,anything,Use this when naming any object or fact is not important.,특정하지 않고 아무 것이나 말할 때 써요.
Call me ___ for help.,도움이 필요할 때 [[언제든지]] 전화해요.,anytime,Think of a word that means 'at any moment'.,언제든지를 뜻하는 단어를 생각해 보세요.
"It rained, ___ we went out.","비가 왔어요, [[어쨌든]] 나갔어요.",anyway,"You use this word when you want to continue your story, even if something happens.",뭐가 있어도 이야기를 계속할 때 쓰는 단어예요.
We can go ___ after school.,우리는 방과 후에 [[어디엔가]] 갈 수 있어요.,anywhere,"It means in any place, without limits.",어느 한 곳에 한정되지 않음을 의미해요.
I won't go ___ today.,나는 오늘 [[아무데도]] 안 갈 거예요.,anywhere,It is used when you choose no place at all.,어떤 장소도 선택하지 않을 때 쓰는 단어예요.
I looked ___ for my keys.,열쇠를 찾으러 [[어디든지]] 갔어요.,anywhere,It means no specific place.,특정한 장소가 없다는 뜻이에요.
They ___ after a mistake.,그들은 실수 후에 [[사과]]했어요.,apologize,You say it when you want to say sorry for your mistake.,실수 후에 미안하다는 말을 할 때 쓰는 단어예요.
I gave a ___ for my mistake.,나는 실수에 대해 [[사과]]했어요.,apology,"When you hurt someone, you say this word.",누군가에게 상처를 주었을 때 쓰는 말이에요.
I use an ___ on my phone.,나는 내 휴대폰에서 [[응용 프로그램]]을 사용해요.,app,It is a program you can run on your phone.,휴대폰에서 사용하는 작은 프로그램이에요.
I noticed his ___ at the party.,나는 파티에서 그의 [[출현]]을 봤어요.,appearance,This word describes when someone or something comes into view.,누군가 또는 무언가가 보이는 순간을 말해요.
Her ___ is nice.,그녀의 [[겉모습]]이 좋아요.,appearance,It describes how someone looks.,누군가의 보이는 모양을 말해요.
Her ___ is so lovely.,그녀의 [[외모]]는 정말 예뻐요.,appearance,It is how someone looks on the outside.,사람이 밖에서 보이는 모습이에요.
I ate an ___ before dinner.,나는 저녁 전에 [[전채]]를 먹었어요.,appetizer,You eat it before the main meal.,주된 음식 전에 먹는 거예요.
I eat ___ every day.,나는 매일 [[사과]]를 먹어요.,apple,It is a common round fruit that is sweet.,달콤하고 둥근 보통의 과일이에요.
Complete your ______ for the job.,취직할 때 [[지원]]해요.,application,It is a form you fill to get a job.,일자리를 얻기 위해 작성하는 양식이에요.
The ______ of this rule is clear.,이 규칙의 [[적용]]은 명확해요.,application,It means using a rule in real situations.,규칙을 실제 상황에서 사용하는 것을 뜻해요.
I sent my ___ yesterday.,나는 어제 [[지원서]] 보냈어요.,application,You use this paper when you want to join a school or company.,학교나 회사에 들어가기 위해 쓰는 서류예요.
