fill_in_blank_quiz,korean_translation,answer,hint_eng,hint_kor
They ___ a secret.,그들은 비밀을 [[말]]했어요.,say,You use it when you talk.,이 단어는 대화할 때 사용해요.
She ____ a kind word.,그녀는 친절한 [[말]] 했어요.,say,You use it when you speak to others.,누군가와 이야기할 때 써요.
You have a ___ in the meeting.,너는 회의에서 [[발언권]]을 가졌어.,say,You can use it when giving your opinion.,네 의견을 말할 때 쓰는 단어예요.
I always ___ my teacher.,나는 선생님에게 [[안부]] 전해요.,say hello to,"When you meet a friend, how do you greet them?","친구를 만났을 때, 어떻게 인사해요?"
I ___ the document.,나는 문서를 [[살피다]]해요.,scan,It means to look over something quickly.,무엇인가를 빨리 훑어보는 거예요.
Please ___ the document.,문서를 [[훑다]]하세요.,scan,You look quickly over text.,글을 빠르게 보는 거예요.
He did a ___ of his computer.,그는 그의 컴퓨터를 [[정밀 검사]]했어요.,scan,It is a check done by a machine.,기계로 검사를 하는 거예요.
I was ___ during the storm.,나는 폭풍 속에서 [[무서운]] 기분이었어요.,scared,You feel this when something frightens you.,무언가가 놀라게 할 때 느끼는 감정이에요.
The movie is ___.,영화는 [[무서운]].,scary,This word describes something that makes you feel fear.,이 단어는 두려움을 주는 상황을 나타내요.
She loves the ___ by the river.,그녀는 강가의 [[풍경]]을 좋아해요.,scenery,You see it when you look at nature.,자연의 경치를 볼 때 보이는 모습이에요.
The ___ studied in the library.,그 [[학자]]는 도서관에서 공부했어요.,scholar,This person studies many books and ideas.,많은 책과 생각을 공부하는 사람이에요.
Fish swim in a ___.,"물고기들이 [[떼,무리]]로 헤엄쳐요.",school,It means a group of fish swimming together.,많은 물고기가 함께 모여 있는 무리를 말해요.
I go to ______ every day.,나는 매일 [[학교]]에 갑니다.,school,This is a place where you learn things.,여기는 배우는 곳이에요.
The painter joined a ___.,화가는 [[파]]에 들어갔어요.,school,It is a group of artists working together.,비슷한 스타일의 예술가들이 함께 모여요.
We learn ___ at school.,우리는 학교에서 [[과학]]을 배워요.,science,You learn about the natural world and experiments.,자연과 실험에 관해 배워요.
