fill_in_blank_quiz,korean_translation,answer,hint_eng,hint_kor
She speaks with a unique ___.,그녀는 독특한 [[강세]]로 말해요.,accent,It is how someone pronounces words differently.,다른 지역 사람들의 말하는 방식이에요.
She speaks with ___.,그녀는 [[억양]]으로 말해요.,accent,It shows how your voice goes up and down when speaking.,말할 때 목소리가 위아래로 변해요.
They ___ on TV.,그들은 TV에 [[광고]]해요.,advertise,Companies tell people about their products.,회사가 사람들에게 제품을 알려주는 것을 말해요.
The company ___ their product today.,회사에서는 [[광고]]해요.,advertize,You tell people about a product.,사람들에게 제품을 알리는 행동이에요.
My dad works for ___.,아빠는 [[항공사]]에서 일해요.,airline,It is a company that flies planes.,비행기를 운항하는 회사예요.
The ___ went off suddenly.,건물에서 [[경보]]가 울렸어요.,alarm,It is a sound that warns you.,문제가 생기면 알려주는 소리예요.
I set my ___ for 7.,나는 오전 7시에 [[알람]]을 맞춰요.,alarm,You hear this to wake up.,일어나기 위해 이 소리를 들어요.
She avoids ___ at many parties.,그녀는 파티에서 [[알코올]]을 피해요.,alcohol,It is in drinks like beer and wine.,맥주와 와인에 들어있는 거예요.
He said it ____ in class.,그는 수업에서 [[소리 내어]] 말했어요.,aloud,It means speaking so others can clearly hear.,다른 사람이 분명히 들을 수 있게 말하는 것을 뜻해요.
The magic show will ___ you.,마술쇼가 너를 [[놀라]]게 할 거예요.,amaze,Rearrange these letters!: Z A M A E,다음 글자들을 재배열 해보세요!: Z A M A E
The clown will ___ you.,광대가 당신을 [[즐겁게]] 해요.,amuse,It means to make someone smile or laugh.,누군가를 미소 짓게 하거나 웃게 만들어요.
She wrote an ______ of the text.,그녀는 글의 [[분석]]을 작성했어요.,analysis,You check details to understand the whole picture.,전체 그림을 이해하려고 세부 사항을 살펴보는 것이에요.
Loud sounds often ___ people.,시끄러운 소리들이 사람들을 [[화나게 하다]]요.,annoy,It is the feeling you get when you are bothered.,누군가에게 귀찮음을 느낄 때의 기분이에요.
An ___ is on the ground.,바닥에 [[개미]]가 있어요.,ant,This insect is very small and lives in large groups.,"이 벌레는 아주 작고, 무리로 살아요."
The ___ waited at the interview.,그 [[신청자]]는 면접에서 기다렸어요.,applicant,Someone who applies for a job.,구직을 위해 신청하는 사람이에요.
I ate ___ for breakfast.,나는 아침 식사로 [[베이컨]]을 먹었어요.,bacon,"It is a crispy, savory meat from a pig.",돼지에서 나온 바삭하고 짭짤한 고기예요.
They sailed into the ___.,그들은 [[만]]에 갔어요.,bay,It is a calm water area by the land.,땅 옆의 잔잔한 물가예요.
The boat stopped at the ___.,배는 [[구역]]에 멈췄어요.,bay,It is a calm area by water.,물이 있는 잔잔한 곳이에요.
He drinks ___ every weekend.,그는 매주말에 [[맥주]]를 마셔요.,beer,You might drink this with friends at a bar.,술집에서 친구와 함께 마실 수 있는 이것이에요.
I have a strong ___.,나는 강한 [[믿음]]을 가지고 있어요.,belief,It shows you think something is true.,어떤 것이 사실이라고 생각할 때 느끼는 감정이에요.
Her ___ guides her life.,그녀의 [[신념]]이 인도해요.,belief,It is what you think is true.,자신이 옳다고 믿는 생각이에요.
I sat on the ___.,나는 [[벤치]]에 앉았어요.,bench,It is a long seat used in parks.,공원에서 쉬기 위해 사람들이 앉는 긴 좌석이에요.
Her skills are ___ others.,그녀의 재능은 다른 사람들을 [[능가]]해요.,beyond,It means being more than what is usual.,평범한 것보다 더 많다는 뜻이에요.
The park is ___ the river.,공원은 강 [[저편]]에 있어요.,beyond,It means on the far side.,멀리 떨어진 쪽을 나타내요.
Please ___ this document securely.,이 문서를 [[묶]]어주세요.,bind,You secure things by tying them.,물건들을 묶어서 고정시키는 거예요.
God ___ you.,하나님이 너를 [[축복]]해요.,bless,It means to wish someone well in a prayer.,기도로 누군가에게 좋은 일을 빌어주는 거예요.
The market saw a ___ last month.,시장이 지난달 [[호황]]을 맞았어요.,boom,It is used for a period when things grow quickly.,많은 것이 빠르게 늘어날 때 쓰는 말이에요.
It makes a ___ sound.,이 기계가 [[윙윙 울리]]어요.,boom,It is a loud noise like an explosion.,폭발이나 불꽃놀이 때 나는 큰 소리예요.
She ___ a hole in the wall.,그녀는 벽에 구멍을 [[뚫다]].,bore,It is used when you make a hole in something.,뭔가에 구멍을 만들 때 쓰는 단어예요.
The movie ___ me.,영화가 [[지루하게 하다]] 나를 잠들게 했어요.,bore,It makes you feel sleepy because it is not fun.,재미없어서 피곤하게 만드는 뜻이에요.
She ___ me with her story.,그녀가 이야기로 나를 [[지루하게]] 했어요.,bore,It makes someone feel uninterested or sleepy.,누군가를 흥미없게 만드는 뜻이에요.
He ___ his team.,그는 [[지배]]해요.,boss,You are in charge of others.,다른 사람들을 관리해요.
My __ is very kind.,나의 [[상사]]는 매우 친절해요.,boss,The person in charge at work.,직장에서 일하는 사람을 이끄는 분이에요.
He used the ___ to stop.,그는 차를 멈추기 위해 [[브레이크]]를 사용했어요.,brake,It helps a vehicle slow down.,차가 천천히 가도록 도와줘요.
I see a ___ in water.,나는 물에서 [[거품]]을 봐요.,bubble,It appears when soda fizzes.,탄산음료가 터질 때 생겨요.
Mosquitoes ___ me at night.,모기들이 [[괴롭히다]] 해요.,bug,It makes you feel annoyed.,다른 사람을 짜증나게 해요.
There is a ___ on the leaf.,나뭇잎에 [[벌레]]가 있어요.,bug,It is a small insect you may see outdoors.,밖에서 볼 수 있는 작은 생물이예요.
There is a ___ in the program.,내 프로그램에 [[오류]]가 있어요.,bug,It is a small problem in a computer program.,컴퓨터 프로그램에 작은 문제가 생길 때예요.
There is a ___ near the house.,집 근처에 있는 [[수풀]]이 있어요.,bush,It is a thick plant found outside.,밖에서 자라는 두꺼운 식물이에요.
She connected the ___ to the TV.,그녀는 TV에 [[케이블]]을 연결했어요.,cable,It is a long wire that connects devices.,이것은 전자기기를 연결하는 긴 선이에요.
She uses a _____ daily.,그녀는 매일 [[계산기]]를 사용해요.,calculator,You use this tool to add numbers.,숫자를 더하는데 쓰는 도구예요.
I check the ___ each day.,나는 매일 [[달력]]을 확인해요.,calendar,"It shows days, months, and important dates.",날짜와 달을 보여주는 도구에요.
I see dates on my ______.,나는 내 [[일정표]]를 봐요.,calendar,It helps you plan your days.,하루하루 계획하는 데 써요.
