fill_in_blank_quiz,korean_translation,answer,hint_eng,hint_kor
Many feel ___ during exams.,많은 사람들은 시험 중에 [[걱정]]해요.,anxiety,This is a feeling when you worry a lot.,많이 걱정할 때 느끼는 기분이에요.
I feel ___ sometimes.,나는 때때로 [[열망]]을 느껴요.,anxiety,It is a feeling of worry and nervousness.,걱정과 긴장이 느껴지는 감정이에요.
I felt ___ during the test.,나는 시험 중에 [[불안]]을 느꼈어요.,anxiety,How do you feel when you worry a lot?,매우 걱정될 때 어떤 기분인지 생각해봐요.
Do you have ___ milk?,우유가 [[조금도]] 있나요?,any,You use this word in questions or negatives.,의문문이나 부정문에 쓰는 단어예요.
I do not have ___ money.,나는 [[아무]] 돈이 없어요.,any,Use this word when choosing a thing is not important.,어떤 것을 특별히 정하지 않을 때 쓰는 말이에요.
I don't play soccer ___.,나는 [[더 이상]] 축구를 하지 않아요.,anymore,It means you no longer do something.,어떤 행동을 더 하지 않는 뜻이에요.
Did ___ call you?,[[누군가]] 전화했어요?,anyone,"When you are not sure which person, use this word.",어떤 사람인지 모를 때 쓰는 단어예요.
I don't need ___ at all.,나는 전혀 [[아무것]] 필요 없어요.,anything,"When you mean no specific object, use this word.",특정한 물건을 가리키지 않을 때 쓰는 단어예요.
Call me ___ if needed.,필요할 때 [[언제든지]] 찾아 주세요.,anytime,It means you can do it when you want.,원할 때 할 수 있다는 뜻이에요.
I went ___ to the park.,나는 공원에 [[어쨌든]] 갔어요.,anyway,It shows a result despite difficulties.,문제가 있어도 같은 결과를 나타낼 때 사용해요.
He can go ___ for lunch.,그는 점심 먹으러 [[어디엔가]] 갈 수 있어요.,anywhere,It means that you are not limited to one place.,한 곳에 국한되지 않는 것을 뜻해요.
I can go ___.,나는 [[아무데도]] 갈 수 있어요.,anywhere,It means you can go to any place you choose.,어떤 장소든 선택해서 갈 수 있다는 뜻이에요.
You can go ___.,너는 [[어디든지]] 갈 수 있어요.,anywhere,It means you can be in any place.,어느 곳이든 있을 수 있다는 뜻이에요.
